horizon,MAE_std_mean,MAE_std_std,RMSE_std_mean,RMSE_std_std,MAE_phys_mean,MAE_phys_std,RMSE_phys_mean,RMSE_phys_std,N_component_min,N_component_max
1,0.11783500614426971,0.011218763142920102,0.1829515482108397,0.018901515252249493,0.11844691653486258,0.010752078568691655,0.1896091347163045,0.018498295813278772,39,44
2,0.13740908041129846,0.005874143894044202,0.23667803674722365,0.011334355459556586,0.13858803540012982,0.0068564474221818016,0.23491016747324509,0.013073352863532733,38,45
3,0.15742050979684344,0.009402857914346712,0.3054878217073425,0.02245641262788474,0.1558161111421276,0.012399915790781353,0.2946814526282758,0.02537467661577678,38,45
4,0.13024632602233743,0.0037826887202459677,0.20384770343148348,0.005206816403905552,0.14369801717125147,0.0025693141915982018,0.24628158819495005,0.013844399057822743,29,42
5,0.20786727877677197,0.004697942467890657,0.33325956683886454,0.013309278683265303,0.218596455614473,0.004756185178929085,0.3601698819347925,0.013038597779073187,29,42
6,0.19466227144194853,0.008147811351197408,0.3478965248204789,0.012842949410925621,0.19975898242921714,0.006565441895800629,0.34763103468349515,0.01069011227080453,31,42
7,0.21539147135729547,0.014042617556697359,0.380494599761513,0.03146192276848049,0.22687666248848695,0.016600003675047784,0.3970303695522279,0.03807887658737718,30,42
8,0.2829281073750446,0.020108725723941248,0.4990345836894168,0.03081922907396285,0.3107931691227155,0.023864872397283243,0.5684412656522139,0.03335568951571971,29,41
9,0.2988613576770553,0.025564898113959064,0.4578410564819281,0.04010498510088011,0.3185440921517414,0.025382603364165424,0.47709682124342107,0.04523124183320345,20,40
10,0.29261063378638674,0.03130279778067981,0.46134084170125256,0.06671147858918117,0.31335048353516565,0.034472754187908974,0.4904507444899832,0.07654795580531279,18,38
11,0.30690547861315765,0.03796799759651185,0.5089811923206246,0.08796412157856495,0.338982082550774,0.039601965490522376,0.558533083275776,0.09544954976339275,19,41
12,0.38445955620851624,0.03734823921903024,0.6945889811344887,0.06388039671748197,0.4131133991307592,0.04415453614062609,0.7286022144546382,0.08594044979926489,15,31
13,0.35579401651466,0.035071082173469346,0.5968201248160014,0.07308088422543765,0.39700816517200516,0.037739315243337186,0.6945540036064213,0.08037037959958293,13,32
14,0.36621563825306397,0.03174971644459401,0.6122333377229958,0.06096981161900112,0.40115910775429064,0.03779453687414237,0.6860541839843235,0.06521446728076219,9,24
15,0.3360107542326053,0.015339945108050233,0.5405146224386961,0.01891194935200523,0.3545163129396166,0.015061103820466845,0.578171274909004,0.017304508021063064,12,27
16,0.3939797960167045,0.026668526640052096,0.6550185711268193,0.047624403633840046,0.4287021570989819,0.037051885391957466,0.73492008320163,0.07236292915464237,9,23
17,0.37382969402131583,0.06186342717222236,0.45307040914698005,0.12095348864089213,0.38825596138868546,0.070050160442878,0.4607175170486437,0.12998557082251092,1,7
18,0.16398549675941468,0.02076824134948595,0.2184806804635428,0.02452816330108087,0.12055586304500236,0.019507948002073863,0.15932496969095739,0.03755195159737938,3,3
