split,task,unit,N seeds,MAE macro [std] mean,MAE macro [std] std,MAE pooled [std] mean,MAE pooled [std] std,RMSE pooled [std] mean,RMSE pooled [std] std,R2 pooled [std] mean,R2 pooled [std] std,MAE macro [physical] mean,MAE macro [physical] std,MAE pooled [physical] mean,MAE pooled [physical] std,RMSE pooled [physical] mean,RMSE pooled [physical] std,R2 pooled [physical] mean,R2 pooled [physical] std,MAPE macro [%] mean,MAPE macro [%] std
test,R2,R original unit,5,0.23217229859228086,0.008132307683264516,0.24279090925999186,0.011292769045304282,0.4458115386418287,0.028360796670269136,0.8078626209759628,0.022025151211528347,0.24463855908993332,0.008418407165655445,0.25697271755714635,0.012115163238960249,0.47915457853355525,0.031732261155987526,0.7921875329197444,0.020945780923732445,3.4772366751880113,0.133169138589967
val,R2,R original unit,5,0.26110120071358883,0.006393075495097886,0.25207497653952926,0.008382256983894863,0.5054057710999021,0.014682590805952755,0.777139739387954,0.009166705563697287,0.2918231458972715,0.007551224384474755,0.280812141791977,0.008900111275587071,0.6174097011221176,0.014384107403144405,0.7082901709435563,0.013168565653648974,3.8628548375457994,0.0985406271489874
