seed,split,task,MAE macro [std],MAE pooled [std],RMSE pooled [std],R2 pooled [std],MAE macro [physical],MAE pooled [physical],RMSE pooled [physical],R2 pooled [physical],MAPE macro [%],unit
42,test,R2,0.23083607056523736,0.244504355944154,0.45462456086696407,0.8028321305573218,0.24493275384392846,0.2599997178122717,0.49151387245436656,0.7918012764967842,3.5005151626208995,R original unit
42,val,R2,0.2549577250329152,0.24710664373239657,0.4976425877623287,0.789375452749292,0.2835131067057661,0.2730706282561603,0.5995090532754455,0.7307313404749666,3.811365037733086,R original unit
43,test,R2,0.24193864177252813,0.2583793873813129,0.48729523189953444,0.7732028019432818,0.2551978678498786,0.27454631074852537,0.5253921759492791,0.7568902550365463,3.6554546222464483,R original unit
43,val,R2,0.2545021367595984,0.24041391792544373,0.4882582832052837,0.7805880122944111,0.2880224415606329,0.2714815138159779,0.6126435227135744,0.7010990238284612,3.7470911073492505,R original unit
44,test,R2,0.22027249828841353,0.22657242360607044,0.4098266042749401,0.8320520630960986,0.23352202650060225,0.24108881223729725,0.43982649405052426,0.8115689795359576,3.283419424993751,R original unit
44,val,R2,0.2696426251419844,0.26068776858376147,0.5267083718562727,0.764855660685785,0.30355176133451384,0.29315821530470604,0.6384212584223432,0.698011651292552,4.013255359215435,R original unit
45,test,R2,0.23076499669510475,0.24172775701361182,0.44193009027333297,0.8135451208612321,0.23985678166454574,0.25292724703530894,0.47105906162054884,0.8007487167222497,3.450616149655509,R original unit
45,val,R2,0.26274618017741164,0.25873574584235454,0.5120934857502416,0.7724537831956173,0.2901502862605133,0.2849447636067888,0.6227983133100821,0.7026169509225776,3.8749042699749077,R original unit
46,test,R2,0.23704928564012062,0.24277062235481014,0.435381205894372,0.8176809884218795,0.2496833655907116,0.2563014999523286,0.46798128859305765,0.7999284368071847,3.4961780164234497,R original unit
46,val,R2,0.26365733645603456,0.25343080661368983,0.5023261269253839,0.7784257880146646,0.29387813362493115,0.28140558797625204,0.6136763578891427,0.7089918881992245,3.8676584134563172,R original unit
