split,task,component,N seeds,N cells,N points,MAE macro [std] mean,MAE macro [std] std,MAE pooled [std] mean,MAE pooled [std] std,RMSE pooled [std] mean,RMSE pooled [std] std,R2 pooled [std] mean,R2 pooled [std] std,MAE macro [physical] mean,MAE macro [physical] std,MAE pooled [physical] mean,MAE pooled [physical] std,RMSE pooled [physical] mean,RMSE pooled [physical] std,R2 pooled [physical] mean,R2 pooled [physical] std,MAPE macro [%] mean,MAPE macro [%] std
val,R2,SOC10_R2,5,45,634,0.2857866531482717,0.015941243665456697,0.28733549008721765,0.017467512188920377,0.5851817167946468,0.049798745400389685,0.839457298160877,0.02692160969064413,0.447024690973352,0.02319114331563165,0.44920498644122747,0.024521239517235043,1.0063461069968054,0.03858406880676322,0.7674121750686789,0.01797008815054917,4.241270273395029,0.3246889743565691
val,R2,SOC50_R2,5,45,630,0.28146337167757124,0.010046966177687577,0.282957941728851,0.010037362784241449,0.6078022136436354,0.017003274374476785,0.7121960956480201,0.0159232291510706,0.160518774612181,0.005248365307558197,0.16275443780114665,0.005397474195322671,0.39068586996423893,0.010770819414425528,0.6455769009269942,0.01931816392300855,2.897698876522854,0.10266443752588977
val,R2,SOC90_R2,5,42,382,0.21605357731492364,0.006188618156664121,0.18593149780251908,0.006844086815564115,0.32323338286142417,0.012608084062394208,0.779765824354965,0.0172767651688935,0.2679259721062814,0.008413849183466882,0.23047700113355693,0.008704125642354342,0.4551971264053082,0.01981359140471008,0.7118814368349963,0.025205248178339534,4.449595362719513,0.10218178484885394
test,R2,SOC10_R2,5,45,603,0.2858092958493398,0.01955090381743657,0.30912800030134135,0.02528017323076931,0.6575462283765555,0.0788564949781578,0.7539705656924971,0.05722849602796634,0.3979044975874885,0.022304447700772157,0.42136619437619655,0.029509149173255596,0.8547220031022056,0.08661661592522785,0.7579232579306396,0.04793317741386023,4.261890702647416,0.34340311454889005
test,R2,SOC50_R2,5,45,599,0.23140248680955758,0.010959454079829761,0.2352018592474346,0.010161458601341291,0.40937034393502697,0.014675681072993869,0.8310686520959789,0.011943953894398607,0.12361110384576242,0.00557937861899379,0.12657675259643913,0.005261043474000096,0.23386724025422306,0.008646024313323385,0.8144634678420664,0.013454525971412773,2.4924630873257123,0.13184171428420013
test,R2,SOC90_R2,5,39,379,0.17930511311794534,0.004102914715094327,0.18404286823119959,0.0059550945854506526,0.2705180436139035,0.012517116294409983,0.8385486451394122,0.015069387108902823,0.21240007583654902,0.004831297194952556,0.22297520569880347,0.007904260883465759,0.34887449224423733,0.01938065490993093,0.8041758729865276,0.022127960632994804,3.677356235590905,0.04996012977814795
