seed,split,task,component,MAE macro [std],MAE pooled [std],RMSE pooled [std],R2 pooled [std],MAE macro [physical],MAE pooled [physical],RMSE pooled [physical],R2 pooled [physical],MAPE macro [%],N cells,N points
42,val,R2,SOC10_R2,0.28203383875617083,0.28721221860671525,0.6051651883647098,0.8292942711735514,0.43414716590522856,0.4411117386327206,0.994586236469799,0.7730831790168293,4.266110638355329,45,634
42,val,R2,SOC50_R2,0.272484624182447,0.27704283884423414,0.5804050669795798,0.7377214957266558,0.15590343506603144,0.15937698733214248,0.3733450473727463,0.6765378930052852,2.8203927608792454,45,630
42,val,R2,SOC90_R2,0.21035471216012777,0.17706487374624033,0.30735750794269656,0.8011105913476688,0.26048871914603844,0.2187231588036178,0.430595875983791,0.7425729494027855,4.3475917139646825,42,382
42,test,R2,SOC10_R2,0.2951581426200685,0.3223189732066014,0.7109641792305066,0.7156445216968499,0.4082100246507574,0.43625270110581277,0.9135549769240497,0.7257041523853698,4.469342411984965,45,603
42,test,R2,SOC50_R2,0.21908417901787688,0.22609899457781582,0.385488579675038,0.8503577475487339,0.11741500287963658,0.12199341199422924,0.2191975990404304,0.8371875410854316,2.3589386908532646,45,599
42,test,R2,SOC90_R2,0.1782658900577667,0.18509510004804483,0.2674209236953474,0.8424941224263816,0.20917323400139148,0.2217530403367732,0.3417890413986195,0.8125121360195515,3.6732643850244675,39,379
43,val,R2,SOC10_R2,0.26746219970068397,0.2666596165154576,0.513520744872658,0.8770817959648537,0.42741860485285293,0.4267862982168222,0.9600132348155438,0.7885847839548987,3.8536167354724045,45,634
43,val,R2,SOC50_R2,0.2698912239346725,0.26960694203338037,0.6091154671498684,0.7111319145183583,0.15472626431580003,0.15600960741260575,0.39382507771108727,0.6400772015910203,2.774215148775124,45,630
43,val,R2,SOC90_R2,0.22615298664343855,0.18497519522749317,0.34213863759332463,0.7535503264000214,0.28192245551324574,0.23164863581850587,0.484092255614092,0.6746350859394648,4.613441437800223,42,382
43,test,R2,SOC10_R2,0.3080303434212751,0.3396860482796693,0.7474436948704963,0.6857153826945096,0.42344770719770913,0.4579335523522586,0.9544355906002671,0.7006059889654261,4.689487172375664,45,603
43,test,R2,SOC50_R2,0.23835590771290655,0.2438799661687398,0.425712774250418,0.8174992858510033,0.12730296324090135,0.13118386112044644,0.24212036652183064,0.8013545165492139,2.5678337479653,45,599
43,test,R2,SOC90_R2,0.17942967418340283,0.19157214769552952,0.288729226577689,0.8163937372843324,0.21484293311102517,0.234521518772871,0.37962057072573974,0.7687102595949986,3.709042946398381,39,379
44,val,R2,SOC10_R2,0.3112997557952882,0.3149867361985817,0.6483427986823224,0.8040660907158598,0.4861661338423444,0.491277597822695,1.0652394743625413,0.7396987198589287,4.750759379169165,45,634
44,val,R2,SOC50_R2,0.28398144415234905,0.28417754159715497,0.6056990116771003,0.7143632796337647,0.16089653020778616,0.16254141259071764,0.38787003935370634,0.6508797092864334,2.9056467854271224,45,630
44,val,R2,SOC90_R2,0.21364667547831595,0.1828990279555477,0.3260833052093955,0.7761376117077309,0.2635926199534109,0.22565563550070558,0.4621542615507819,0.7034565247322941,4.383359913050019,42,382
