seed,epoch,train_R2_MSE_std,val_R2_MSE_std,is_best_so_far
42,1,0.33432129978143843,0.47931364489125355,True
42,2,0.28623391870840537,0.48353300226448487,False
42,3,0.3486907937353314,0.4186715969875945,True
42,4,0.27112046358360575,0.4883433494472342,False
42,5,0.3188023547895829,0.4139478101665479,True
42,6,0.23151919422936443,0.40487287613635187,True
42,7,0.2745549080965669,0.5452058164169199,False
42,8,0.22466135318789124,0.4059469868390932,False
42,9,0.2585412516418311,0.34942628189741587,True
42,10,0.23886265539038296,0.41487625152880225,False
42,11,0.22788441156501427,0.4109025377433911,False
42,12,0.24070565747960446,0.36662940093799085,False
42,13,0.19281064213501117,0.3607298833605355,False
42,14,0.1733931182000231,0.35396554015157206,False
42,15,0.18974507574041943,0.36199872742670774,False
42,16,0.17688718785710222,0.3422762834587916,True
42,17,0.20957943771946705,0.38448162902120075,False
42,18,0.18169282734357015,0.3530730781237866,False
42,19,0.25040452217609305,0.42968221195051476,False
42,20,0.1942246340075419,0.34250289144639684,False
42,21,0.1642788148878131,0.3589492758629133,False
42,22,0.17162357170613896,0.3790653928249756,False
42,23,0.21773156925577755,0.33819884872655975,True
42,24,0.16053587401337022,0.3382078273928923,False
42,25,0.17725409258006763,0.33661524212314253,True
42,26,0.1603171358169817,0.3595400389813243,False
42,27,0.1673792631217561,0.35174422465269495,False
42,28,0.16034090913969948,0.33223366576361163,True
42,29,0.16708366410637246,0.3523716476230898,False
42,30,0.17842982922360529,0.390513811720252,False
42,31,0.1907333456247858,0.34576923582758146,False
42,32,0.19718714067712306,0.34845933302664195,False
42,33,0.1530933819065495,0.3445303988556172,False
42,34,0.20870613991201312,0.41373074585400266,False
42,35,0.18435033496998535,0.33526467196164766,False
42,36,0.1641717166335312,0.34720596197226694,False
42,37,0.15388947166054742,0.3480937877471699,False
42,38,0.1499792911698565,0.3702373587512138,False
42,39,0.1418357265698516,0.34394562810031354,False
42,40,0.14646795207425445,0.36967248089022214,False
42,41,0.166021694813034,0.3138259508631502,True
42,42,0.18756320223592235,0.3292102692388855,False
42,43,0.14115716837472844,0.3287045997480675,False
42,44,0.135278719244428,0.3405555100233288,False
42,45,0.1337387076261635,0.3285857261426241,False
42,46,0.16827613006567976,0.34743311358250856,False
42,47,0.1265416424097686,0.3436172976437979,False
42,48,0.1536190951530215,0.37124637082286466,False
42,49,0.15875207562923344,0.32623114647934887,False
42,50,0.16517101209833615,0.35075571546556955,False
42,51,0.13898477118537741,0.3672254108209634,False
42,52,0.14631672284247513,0.3391801321539532,False
42,53,0.1520973097498011,0.3692073548401204,False
42,54,0.13840996937181743,0.34230284754792145,False
42,55,0.19014427881330012,0.48114095288646647,False
42,56,0.12585940493442882,0.33505854773455,False
42,57,0.1334742943239294,0.3940737726075226,False
42,58,0.1266815530087449,0.34976856460697303,False
42,59,0.12448434122538221,0.3490421886481306,False
42,60,0.1334038563380219,0.36853778142014487,False
42,61,0.11691552510677927,0.31928277615035244,False
42,62,0.12759647536851954,0.33680674627363677,False
42,63,0.14409256564248954,0.3595334421335445,False
42,64,0.1373434173059723,0.37554071085542656,False
42,65,0.1264034906836431,0.3610286878117733,False
42,66,0.1382416251286254,0.3141181557157377,False
42,67,0.11267534938104272,0.2951073160480722,True
42,68,0.11501790328395987,0.344326342351952,False
42,69,0.14896862962743165,0.3820721114752473,False
42,70,0.13054613135333112,0.39472862244115037,False
42,71,0.1223007852135854,0.3004796191214391,False
42,72,0.10926869312879278,0.37712130630544616,False
42,73,0.11744976814158135,0.36192321856031956,False
42,74,0.1143875103016595,0.35125653951041524,False
42,75,0.12350756724692304,0.3227775488353181,False
42,76,0.12681180000991946,0.3559330242153762,False
42,77,0.11708477647822409,0.28849291550676687,True
42,78,0.14524214546435132,0.3750805637440984,False
42,79,0.12189433652017301,0.3529391610323491,False
42,80,0.12703901534037643,0.3464666815391446,False
42,81,0.12011209023164666,0.33758750307375673,False
42,82,0.11157246624835941,0.3558423919968139,False
42,83,0.10702820991789562,0.3612645545903275,False
42,84,0.12339413016745576,0.38120613010655785,False
42,85,0.1049561565924525,0.27950301839941843,True
42,86,0.12680896324509408,0.37614589590566877,False
42,87,0.12922455036747177,0.38183593806143484,False
42,88,0.0994797971422625,0.3506634264819945,False
42,89,0.1179263631794259,0.3713132281200459,False
42,90,0.13856750457181446,0.32189853186696066,False
42,91,0.11752940264179228,0.35502516479977736,False
42,92,0.13668341046660118,0.37781093836309904,False
42,93,0.12073902295512502,0.3502776301721291,False
42,94,0.11774066620225426,0.35459662470758274,False
42,95,0.10443540688576713,0.3424984591566136,False
42,96,0.10092813012480599,0.3485957582106864,False
42,97,0.11272365871406269,0.3061972820224796,False
42,98,0.10430565680463068,0.36175027700797796,False
42,99,0.10583948812860933,0.3575901696898353,False
42,100,0.16558150594740262,0.4168995125816218,False
42,101,0.12158970997829749,0.3813757596190661,False
42,102,0.1021451652409131,0.3465238427464592,False
42,103,0.10316642319847386,0.3611071902446365,False
42,104,0.10881521406064638,0.3631084354754926,False
42,105,0.12734387805491854,0.3203185588927279,False
42,106,0.09452470749791424,0.32116944163690814,False
42,107,0.11898982678203203,0.3455430629576588,False
42,108,0.13317824846301995,0.369559605715262,False
42,109,0.10999293053303472,0.3446295635005072,False
42,110,0.10611383821250191,0.3429913626414612,False
42,111,0.11678872844070239,0.35819515743979097,False
42,112,0.11082057977811709,0.4239969514794386,False
42,113,0.09913935724993189,0.3066670724988088,False
42,114,0.10368687153785557,0.2873118935543781,False
42,115,0.09138200669040268,0.3597154158610994,False
42,116,0.09587247277207135,0.35602603621533163,False
42,117,0.09705915990998375,0.3569447870504639,False
42,118,0.10584341015947885,0.3178507472134247,False
42,119,0.10725885450088703,0.38528029544879794,False
42,120,0.09592618539966845,0.36658929921543254,False
42,121,0.10242946212901664,0.26585451922811476,True
42,122,0.09830000715118363,0.33966637169349867,False
42,123,0.09825292674409607,0.30690112455993407,False
42,124,0.10361566987996722,0.30667704681314073,False
42,125,0.0994645707136983,0.3240306284328415,False
42,126,0.08905143919769515,0.34128888768759286,False
42,127,0.10286336404273914,0.31793806226046933,False
42,128,0.10811616549989765,0.3057786315344704,False
42,129,0.09739521065644635,0.3368702524174956,False
42,130,0.09920810948609239,0.2915794491172607,False
42,131,0.10371248063724793,0.3184285765576745,False
42,132,0.09132252646653417,0.33537060561264687,False
42,133,0.08687824905333887,0.3446557570816228,False
42,134,0.09995720719998474,0.3553282737851858,False
42,135,0.09055618313844378,0.34502020434095493,False
42,136,0.10072870015458397,0.32999959024613496,False
42,137,0.09857040783652597,0.3493518104128453,False
42,138,0.09454352292468464,0.3539397043353482,False
42,139,0.08703264473081367,0.31787040401641425,False
42,140,0.0994790518656077,0.3236589200977901,False
42,141,0.10403608760197107,0.3303384970419028,False
42,142,0.08761334473158261,0.3210009702341947,False
42,143,0.09515021816207096,0.3348749048944509,False
42,144,0.09839982162785822,0.33202640268741207,False
42,145,0.1050920849260349,0.3364230136485869,False
42,146,0.09494584255662297,0.3623218601360645,False
42,147,0.09406781290003845,0.33019417656765865,False
42,148,0.10946284860829546,0.32413825819349035,False
42,149,0.10074045368097333,0.37112425432350404,False
42,150,0.1147209942309083,0.3571225099026383,False
42,151,0.09106523415387106,0.3866626215302486,False
42,152,0.09909797688188494,0.3672311327177526,False
42,153,0.08445259354262467,0.30442063941512526,False
42,154,0.0973952402494841,0.37863205995613747,False
