split,task,MAE macro [std],MAE macro [std],MAE pooled [std],MAE pooled [std],RMSE pooled [std],RMSE pooled [std],R2 pooled [std],R2 pooled [std],MAE macro [physical],MAE macro [physical],MAE pooled [physical],MAE pooled [physical],RMSE pooled [physical],RMSE pooled [physical],R2 pooled [physical],R2 pooled [physical],MAPE macro [%],MAPE macro [%]
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
test,R0,0.24936677526482537,0.008724572260887246,0.2407116827616808,0.010830811638830798,0.3821645813455157,0.021966876610004914,0.7339406527727581,0.040652432073474146,1.868667376191113,0.06113964436980736,1.8571134289995108,0.07466844823033904,2.7882476972886883,0.10945985004039883,0.7544264616881855,0.020587591971767474,6.450096524983624,0.17603699884412727
test,R1,0.30257806515242736,0.015492844058898853,0.30518114461506496,0.014069026579630318,0.4612614624391533,0.02586221192646692,0.8261166157840198,0.018173733491288514,1.649117768807841,0.08909051270459693,1.5765338475950146,0.0907271864391207,2.6272301791373947,0.2519353343094857,0.7797802335325222,0.0382135323673898,7.323652551939881,0.38750418550902443
test,R2,0.23062781151705508,0.013775130735485102,0.2404212828619336,0.014957499571842755,0.429308243222967,0.01333231144867663,0.8233420389022157,0.011347052063985352,0.24336359420203063,0.017914321502935787,0.25468466249748634,0.019114120932328206,0.4626194911852656,0.016512522199176267,0.8081615298946531,0.0119803607671964,3.3977362021462176,0.20661751593079153
test,SOH,0.10381824809304918,0.013403320085009262,0.10549599713379357,0.015034525077858215,0.18093142850584698,0.014528076854426628,0.9408760613240965,0.009834649938370918,1.0898706732015584,0.140706337782664,1.1074834677736698,0.1578305189005408,1.8993949658276836,0.15251389030824933,0.9408760613240965,0.009834649938370918,1.5447824827325047,0.19103525676450495
val,R0,0.30202205212147426,0.005841299597752208,0.3010620924646159,0.0072115430395671585,0.5555238797735054,0.015613852157867836,0.7868332354961451,0.010613287077070639,2.0103082795843306,0.03095669536060296,2.0174308607089886,0.036242622761034564,3.181692635127097,0.05120088295321831,0.7978936866485387,0.006315966371809177,9.746664234227882,0.4587345784951879
val,R1,0.3416346499708901,0.009141997977794292,0.34198953639361074,0.010431540169079809,0.5517021223155587,0.01858909553489412,0.8472246306702189,0.01006582925298131,2.270707835695157,0.04445160624595335,2.0582053925535972,0.059358420866172344,4.198118644728576,0.1623958342936175,0.77766663832543,0.015069475215103932,8.17152142493158,0.23289483153435878
val,R2,0.27985979743916956,0.012418126303682393,0.2748341455315283,0.011601352238700086,0.518997596982179,0.018319460240721293,0.7733743311560579,0.009252081566510079,0.31454498736834235,0.016525230011849638,0.30885647084318696,0.015234429668792194,0.6341906059272695,0.014441445081749361,0.7108768489846808,0.007671737176806258,4.175149236041394,0.19256168939737797
val,SOH,0.10717735810722513,0.008038680390075673,0.10867557900815675,0.007817842826591587,0.19200712208033593,0.015173152649219552,0.9381989465602922,0.009755868938199318,1.125134179952576,0.08438903727725795,1.14086231110385,0.08207071281692929,2.015666178585806,0.15928581339162576,0.9381989465602922,0.009755868938199309,1.6325630524325678,0.12255363729947671
