weight_config,seed,split,task,MAE macro [std],MAE pooled [std],RMSE pooled [std],R2 pooled [std],MAE macro [physical],MAE pooled [physical],RMSE pooled [physical],R2 pooled [physical],MAPE macro [%]
soh50,42,test,R0,0.2363037878214875,0.22280744814082762,0.35341020218472896,0.7780367546551495,1.773302592652766,1.7345774708248671,2.6036382076685594,0.7865301422710177,6.1662201168361355
soh50,42,test,R1,0.3066752274249674,0.3083956702467447,0.45126248673755076,0.8345894437297122,1.636207885386101,1.5647223686550882,2.4478467122915673,0.8029345926860394,7.485509039301839
soh50,42,test,R2,0.22739518329978345,0.23360534995453763,0.41947939063372797,0.8312669627251648,0.23548275641505534,0.24429076287754511,0.45047689223731546,0.8158679370709302,3.365575241965868
soh50,42,test,SOH,0.10093431686400373,0.10242219489379233,0.17692285902611982,0.9437569435420967,1.0595955324840065,1.0752150854985607,1.8573135167790558,0.9437569435420967,1.500354525576894
soh50,42,val,R0,0.29962298047468383,0.29655669517034794,0.547427604147024,0.7922275222885441,1.9907602788607974,1.9893491464137556,3.133607325816119,0.8037620617330373,9.65329544053129
soh50,42,val,R1,0.3417187939022061,0.34192098867505916,0.5399129528245251,0.8532862182744797,2.2889382611401063,2.0577018261897986,4.297812119023059,0.7739851930876807,8.266773079685036
soh50,42,val,R2,0.2772188512425568,0.27405062257785523,0.524066103617885,0.7726333963300699,0.3075288076630576,0.30388216538472906,0.6363873704171148,0.7153219703387778,4.19251299149299
soh50,42,val,SOH,0.1028354693567591,0.1062576103385037,0.19731581058459713,0.9350587390275937,1.0795535878856068,1.1154787856622235,2.0713961106568126,0.9350587390275936,1.5753976594751078
soh50,43,test,R0,0.25006115082035857,0.24286419005082116,0.40341421289270163,0.6897735703496005,1.8497783111615735,1.8461638725810434,2.835862259758235,0.7435262125061549,6.397344453883069
soh50,43,test,R1,0.2938609737759091,0.3002746229504671,0.45794730626999197,0.8273225714403966,1.613508450881281,1.5855961095401743,2.7522184541858294,0.7689775922227974,7.170994837339729
soh50,43,test,R2,0.21504464397998627,0.22596148151151296,0.4190861839358897,0.8329768443392488,0.223833324520192,0.2355848669885947,0.44766338853654625,0.8202183227930577,3.16345718785573
soh50,43,test,SOH,0.09049804145021319,0.0933003562601385,0.17644159903718243,0.9440625085635135,0.9500368496910707,0.979455191692745,1.8522613110468031,0.9440625085635135,1.366354121049874
soh50,43,val,R0,0.2945656768951331,0.29180382945788214,0.5324409826404378,0.8024633287917197,1.9729802149710025,1.9728092563432342,3.1279439538671223,0.8045009713560352,9.071096453369533
soh50,43,val,R1,0.3293681280352337,0.3287262580534985,0.5303717941752557,0.8601471277234184,2.1912956011154887,1.9746267556410988,3.90992868605209,0.8037463330669107,7.879246881665076
soh50,43,val,R2,0.2754813557809188,0.27174270236913095,0.5293311123487525,0.7691462333074949,0.3101693918504896,0.30622757390161764,0.6462799382080633,0.7080553948111312,4.141124547742726
soh50,43,val,SOH,0.10088194644141113,0.10135766092457126,0.19585190964439914,0.9360187727517344,1.059045754494345,1.0640397442171223,2.056028266058202,0.9360187727517344,1.5582382061364737
