weight_config,task,horizon,MAE_std_mean,MAE_std_std,RMSE_std_mean,RMSE_std_std,MAE_phys_mean,MAE_phys_std,RMSE_phys_mean,RMSE_phys_std,N_component_min,N_component_max
soh50,R0,1,0.13406091392868097,0.0034458402210984095,0.2038954944448704,0.004562753825938504,0.913946286828445,0.022847031330522294,1.3735621831786924,0.03559352659797389,45,45
soh50,R0,2,0.14489681595657336,0.0025662997736640627,0.2177726765589755,0.008688687359287923,1.0776146699548292,0.02442773259297625,1.6947211766945691,0.05241085590524526,44,45
soh50,R0,3,0.2042478775983733,0.003398464500476457,0.3746072070242994,0.006499943430972788,1.4230054735533149,0.019468524747851372,2.3716174505436984,0.046762438463528316,44,45
soh50,R0,4,0.1777614924528838,0.014772027873836949,0.2781298713906103,0.02764415278247219,1.3272414119010087,0.09980455022799753,1.9749708043503382,0.15347767702812462,41,42
soh50,R0,5,0.2444104486698401,0.015761146374436125,0.46859556613100883,0.010210407286698482,1.7022699506724006,0.11436852748670688,2.6924045042689935,0.11659289162259828,41,42
soh50,R0,6,0.2185774871266432,0.01104753768710208,0.34793958559224303,0.015553610684502199,1.6058029295418184,0.07885414300288868,2.3881973034686825,0.12724053011978229,42,42
soh50,R0,7,0.244419324251476,0.013055867464922627,0.37003446231941534,0.020907657997237702,1.796353362716984,0.08254077137775787,2.5697649723614857,0.11578758703078532,41,42
soh50,R0,8,0.2739723148643546,0.009169493037910736,0.3979603980075669,0.016841421125442766,2.0391842017789688,0.06417233483677162,2.860841695643789,0.11168377846196853,40,42
soh50,R0,9,0.2575183577993386,0.01630725211178781,0.3728450580403505,0.028691975567028145,1.9771832615493576,0.14056438744199304,2.7520056694963086,0.1337853039840895,37,40
soh50,R0,10,0.2829192569397899,0.011577953292859454,0.3960413426260268,0.031497010164190826,2.2864116471688076,0.101763778033485,3.123836880104556,0.11244030316208362,37,41
soh50,R0,11,0.29505763191463685,0.013819923890842693,0.43197266365413584,0.02285637084040304,2.3465483569039796,0.11612325075731737,3.2433107698775485,0.11714829331221237,35,41
soh50,R0,12,0.3002621559828748,0.013765312240850489,0.42433872804508,0.028509146783895534,2.477946199683444,0.12271316682137816,3.359229908291624,0.14469412779606422,28,32
soh50,R0,13,0.31614007340738315,0.019020436020580834,0.458087041223728,0.04003781627403729,2.598888594688861,0.16332134469012868,3.5867112630238864,0.21207678269125982,25,32
soh50,R0,14,0.3175633686928102,0.028923090292782498,0.4476758240265502,0.07031939130402352,2.7936857181712256,0.16722586257812547,3.8679580012984816,0.2796218743043737,17,27
soh50,R0,15,0.32173394959373974,0.033181623332686074,0.470420003804444,0.07698882867345756,2.7270099913636114,0.2117813562015585,3.8099702344582824,0.3247249066867521,20,27
soh50,R0,16,0.29195178549385803,0.02686737344384359,0.4437340586426581,0.09171356246154073,2.4556625710043023,0.1265461882436785,3.528841631873349,0.31207339073981927,15,24
