weight_config,seed,epoch,train_total_MSE_std,val_total_MSE_std,train_unweighted_total_MSE_std,val_unweighted_total_MSE_std,is_best_joint_so_far,w_SOH,w_R0,w_R1,w_R2,train_SOH_MSE_std,val_SOH_MSE_std,is_best_SOH_so_far,train_R0_MSE_std,val_R0_MSE_std,is_best_R0_so_far,train_R1_MSE_std,val_R1_MSE_std,is_best_R1_so_far,train_R2_MSE_std,val_R2_MSE_std,is_best_R2_so_far
soh40,42,1,0.2614917100609812,0.49414592625216147,0.2957243972039031,0.5703861776488616,True,0.4,0.2,0.2,0.2,0.1245609614892935,0.18918492066536066,True,0.28405962206432017,0.7928769432953198,True,0.39326294411453294,0.7081172267398833,True,0.3810140611474657,0.5913656198948828,True
soh40,42,2,0.1982218026138035,0.33699418781323953,0.22618773401546072,0.39525547267458144,True,0.4,0.2,0.2,0.2,0.08635807700717481,0.10394904836787199,True,0.2228003237287681,0.5655177231335894,True,0.28014822318949933,0.45740061698904416,True,0.31544431213640056,0.4541545022078201,True
soh40,42,3,0.17543087568445306,0.30933200057806304,0.2019485519452232,0.3646294739974782,True,0.4,0.2,0.2,0.2,0.06936017064137232,0.08814210690040243,True,0.20778015824792284,0.5098593301180229,True,0.2557508276581728,0.4208108016119401,True,0.2749030512334249,0.43970565735954725,True
soh40,42,4,0.18969352649613175,0.33275339645326785,0.213409790605437,0.38579175558852064,False,0.4,0.2,0.2,0.2,0.09482847005891075,0.12059995991225689,False,0.22464022488718363,0.5498050742755445,False,0.25126313151205293,0.4203034437006152,True,0.2829073359636006,0.4524585444656659,False
soh40,42,5,0.15777307325944817,0.267663183694695,0.182313055691514,0.3174740715597182,True,0.4,0.2,0.2,0.2,0.05961314353118477,0.06841963223460218,True,0.19693354091409762,0.46114769750368173,True,0.2339481323690262,0.3548728103071,True,0.23875740595174735,0.38545614619348884,True
soh40,42,6,0.19144986872387937,0.3017962509344492,0.21756684801997822,0.3522604065005058,False,0.4,0.2,0.2,0.2,0.08698195153948383,0.09993962867022281,False,0.22138860134688887,0.4949978808657676,False,0.26282847819300487,0.37996500974106123,False,0.2990683610005354,0.43413910672497136,False
soh40,42,7,0.1524289524298597,0.27040460524328475,0.17483872987359647,0.31908052768609974,False,0.4,0.2,0.2,0.2,0.06278984265491269,0.07570091547202487,False,0.19273958163724994,0.45580731956313675,True,0.21646964922130127,0.3557651591339888,False,0.22735584598092198,0.3890487165752485,False
soh40,42,8,0.1508156014973728,0.29266944966658925,0.17406501276921965,0.3496304769982004,False,0.4,0.2,0.2,0.2,0.057817956409985376,0.06482534034014469,True,0.18906087333208596,0.5329105879893241,False,0.21650537804537828,0.4299452015842377,False,0.232875843289429,0.37084077807909493,True
soh40,42,9,0.14609947056674438,0.2740573274232586,0.16914778909893005,0.32684592706925386,False,0.4,0.2,0.2,0.2,0.05390619643800172,0.06290292883927728,True,0.18652651431305026,0.4989191070262236,False,0.2204686246178261,0.381426161334262,False,0.2156898210268421,0.36413551107725267,True
soh40,42,10,0.14965119680621747,0.2731711745266498,0.171602300728919,0.3224423605605232,False,0.4,0.2,0.2,0.2,0.061846781115411316,0.07608643039115606,False,0.18837141137852267,0.4857031838091869,False,0.20739809684854085,0.3547390898677816,True,0.22879291357320108,0.37324073817396836,False
soh40,42,11,0.14505730242642148,0.26631644398860876,0.1663822729415402,0.31545292809025977,True,0.4,0.2,0.2,0.2,0.05975742036594657,0.0697705075820047,False,0.19221138604946644,0.46758577950043817,False,0.2019483780329209,0.35167012141166554,True,0.2116119073178269,0.3727853038669307,False
soh40,42,12,0.14482083770593626,0.27585143994354866,0.1668817658572723,0.32600885802983365,False,0.4,0.2,0.2,0.2,0.05657712510059204,0.07522176759840858,False,0.1840276302582969,0.47536075630299873,False,0.2105082352049565,0.3677611237403695,False,0.21641407286524372,0.3856917844775578,False
soh40,42,13,0.14307652434367044,0.2692348828487707,0.16389957646914077,0.31778150918429265,False,0.4,0.2,0.2,0.2,0.059784315841789046,0.07504837750668251,False,0.18916913797235954,0.4731271730260837,False,0.19771083372709483,0.3558904747102169,False,0.20893401833531966,0.36706001149418754,False
soh40,42,14,0.135794638258006,0.27250645655784367,0.1564611249465089,0.3246195017154079,False,0.4,0.2,0.2,0.2,0.0531286915039944,0.06405427592758686,False,0.18299046713791864,0.4929805600237946,False,0.1960175434344977,0.39703386849281536,False,0.19370779770962485,0.34440930241743467,True
soh40,42,15,0.13539902748745355,0.28881275042022453,0.15609216049839192,0.342569220287616,False,0.4,0.2,0.2,0.2,0.05262649544370004,0.07378687095065851,False,0.17883355015877508,0.5251778457456514,False,0.1947337541994002,0.39000785489515805,False,0.19817484219169237,0.381304309558996,False
soh40,42,16,0.1331501446644566,0.27971726411844916,0.1536876950710539,0.33072230639496725,False,0.4,0.2,0.2,0.2,0.050999943038067284,0.07569709501237668,False,0.17673925940856475,0.4923934538380685,False,0.1889195785534248,0.37336411831271793,False,0.1980919992841588,0.38143455841670587,False
soh40,42,17,0.14581963966552997,0.27167973335899137,0.16658128077077874,0.32136482744662453,False,0.4,0.2,0.2,0.2,0.06277307524453471,0.07293935700845862,False,0.19432125891955376,0.4716849453223677,False,0.2030022774586897,0.377165286781668,False,0.20622851146033683,0.3636697206740038,False
soh40,42,18,0.13795909481364865,0.2522983936712526,0.15972437755641075,0.2995441031469581,True,0.4,0.2,0.2,0.2,0.05089796384260016,0.06331555576843077,False,0.18584815630938958,0.42793118347526704,True,0.21420938322878288,0.3511336943938747,True,0.18794200684487042,0.3557959789502599,False
soh40,42,19,0.1285128179504983,0.26677831038656996,0.14963794279478493,0.31991254966036264,False,0.4,0.2,0.2,0.2,0.04401231857335184,0.05424135329139917,True,0.17399401551210295,0.5072622839807762,False,0.1903952575309463,0.3759656996948908,False,0.1901501795627386,0.3421808616743845,True
soh40,42,20,0.1318976550421078,0.2524937591277125,0.15281741097245735,0.30072420157130814,False,0.4,0.2,0.2,0.2,0.04821863132070956,0.05957198935332975,False,0.17516135493845572,0.46477862294058525,False,0.19300337173558446,0.3567553892508362,False,0.19488628589507964,0.32179080474048144,True
