weight_config,seed,w_SOH,w_R0,w_R1,w_R2,best_val_joint_MSE_std,best_val_weighted_joint_MSE_std,best_val_unweighted_joint_MSE_std_at_joint_ckpt,best_joint_epoch,epochs_trained,joint_checkpoint_file,soh_checkpoint_file,joint_ckpt_val_SOH_MSE_std,joint_ckpt_val_R0_MSE_std,joint_ckpt_val_R1_MSE_std,joint_ckpt_val_R2_MSE_std,best_val_SOH_MSE_std_diagnostic,best_SOH_epoch_diagnostic,best_val_R0_MSE_std_diagnostic,best_R0_epoch_diagnostic,best_val_R1_MSE_std_diagnostic,best_R1_epoch_diagnostic,best_val_R2_MSE_std_diagnostic,best_R2_epoch_diagnostic
soh40,42,0.4,0.2,0.2,0.2,0.22337385882542657,0.22337385882542657,0.2677884573902709,106,200,mtl_gru_4task_full200_weight_sweep_checkpoints\soh40\seed_42_best_joint.pt,mtl_gru_4task_full200_weight_sweep_checkpoints\soh40\seed_42_best_soh.pt,0.04571546456604926,0.3963692114671358,0.3200340061340124,0.30903514739388616,0.031465446840960455,116,0.3963692114671358,106,0.30707079372640417,46,0.2677867562170363,116
soh40,43,0.4,0.2,0.2,0.2,0.20532174730877917,0.20532174730877917,0.24946242770220461,47,200,mtl_gru_4task_full200_weight_sweep_checkpoints\soh40\seed_43_best_joint.pt,mtl_gru_4task_full200_weight_sweep_checkpoints\soh40\seed_43_best_soh.pt,0.02875902573507718,0.4108964253903866,0.289319699551913,0.2688745601314418,0.025063851808853378,178,0.39874359465751913,40,0.289319699551913,47,0.25069808069662464,128
soh40,44,0.4,0.2,0.2,0.2,0.23347681521389688,0.23347681521389688,0.27914720154816897,12,200,mtl_gru_4task_full200_weight_sweep_checkpoints\soh40\seed_44_best_joint.pt,mtl_gru_4task_full200_weight_sweep_checkpoints\soh40\seed_44_best_soh.pt,0.05079526987680856,0.4083002716213042,0.3148324323872684,0.34266083230729466,0.03611018362362219,188,0.40756775217703334,21,0.3143191009251382,36,0.2774950536573185,188
soh40,45,0.4,0.2,0.2,0.2,0.22281374925043523,0.22281374925043523,0.2659650433393478,23,200,mtl_gru_4task_full200_weight_sweep_checkpoints\soh40\seed_45_best_joint.pt,mtl_gru_4task_full200_weight_sweep_checkpoints\soh40\seed_45_best_soh.pt,0.05020857289478498,0.3998467623751629,0.30350346117821875,0.3103013769092245,0.03149215548420241,133,0.36650771544173444,179,0.30350346117821875,23,0.27778431800728426,198
soh40,46,0.4,0.2,0.2,0.2,0.23619271877046416,0.23619271877046416,0.28522370080515214,35,200,mtl_gru_4task_full200_weight_sweep_checkpoints\soh40\seed_46_best_joint.pt,mtl_gru_4task_full200_weight_sweep_checkpoints\soh40\seed_46_best_soh.pt,0.04006879063171202,0.42753960025452753,0.3638127639959234,0.30947364833844565,0.03695590834603209,147,0.41028684770239754,94,0.32664485588359765,11,0.2880381567870721,147
soh50,42,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.1855573185982531,0.1855573185982531,0.25886921328019735,125,200,mtl_gru_4task_full200_weight_sweep_checkpoints\soh50\seed_42_best_joint.pt,mtl_gru_4task_full200_weight_sweep_checkpoints\soh50\seed_42_best_soh.pt,0.038933529234364675,0.39814676280402383,0.29965682476424166,0.29873973631815925,0.0330030205026494,35,0.3910933397836554,190,0.29965682476424166,125,0.2732812189516036,165
soh50,43,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.18064642029830888,0.18064642029830888,0.2517906464191283,64,200,mtl_gru_4task_full200_weight_sweep_checkpoints\soh50\seed_43_best_joint.pt,mtl_gru_4task_full200_weight_sweep_checkpoints\soh50\seed_43_best_soh.pt,0.038357968056670126,0.3722810182992258,0.29053876593464145,0.30598483338597576,0.033209604799207246,135,0.3611356422493935,146,0.29053876593464145,64,0.27888053821719155,135
soh50,44,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.20068580704002664,0.20068580704002664,0.278467954187859,44,200,mtl_gru_4task_full200_weight_sweep_checkpoints\soh50\seed_44_best_joint.pt,mtl_gru_4task_full200_weight_sweep_checkpoints\soh50\seed_44_best_soh.pt,0.0451215127443619,0.4272841702187116,0.3214303747774862,0.3200357590108764,0.03826901415683712,27,0.3953792500124984,68,0.3201288414642167,12,0.3031617468343378,27
soh50,45,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.1844002903946131,0.1844002903946131,0.2615076261971524,128,200,mtl_gru_4task_full200_weight_sweep_checkpoints\soh50\seed_45_best_joint.pt,mtl_gru_4task_full200_weight_sweep_checkpoints\soh50\seed_45_best_soh.pt,0.030185618789534553,0.4518932958959385,0.309420989139575,0.2545306009635615,0.024701487261723176,82,0.39193060837410315,17,0.29774750425132324,38,0.2538659720092578,82
soh50,46,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.19201182755201665,0.19201182755201665,0.271689772430969,35,200,mtl_gru_4task_full200_weight_sweep_checkpoints\soh50\seed_46_best_joint.pt,mtl_gru_4task_full200_weight_sweep_checkpoints\soh50\seed_46_best_soh.pt,0.03265593779411201,0.4325921441703804,0.34503764831662553,0.276473359442758,0.03265593779411201,35,0.39618576239475783,149,0.31677009400832357,196,0.26630379468863385,195
soh60,42,0.6,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.15052871843169655,0.15052871843169655,0.2455323179107184,97,200,mtl_gru_4task_full200_weight_sweep_checkpoints\soh60\seed_42_best_joint.pt,mtl_gru_4task_full200_weight_sweep_checkpoints\soh60\seed_42_best_soh.pt,0.04195317616995728,0.3546655568115527,0.292939690680837,0.2925708479805266,0.027576435008437972,55,0.3546655568115527,97,0.2896944834898226,114,0.28405642168245565,76
soh60,43,0.6,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.1558860513728864,0.1558860513728864,0.26112048935484145,21,200,mtl_gru_4task_full200_weight_sweep_checkpoints\soh60\seed_43_best_joint.pt,mtl_gru_4task_full200_weight_sweep_checkpoints\soh60\seed_43_best_soh.pt,0.03561812225065202,0.41239206200664186,0.3017306551536343,0.2947411180084377,0.034944845470416944,93,0.3867415555326532,158,0.3017306551536343,21,0.2947411180084377,21
soh60,44,0.6,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.16433912133240514,0.16433912133240514,0.2745169507067302,27,200,mtl_gru_4task_full200_weight_sweep_checkpoints\soh60\seed_44_best_joint.pt,mtl_gru_4task_full200_weight_sweep_checkpoints\soh60\seed_44_best_soh.pt,0.03842160204746212,0.4619758220791917,0.3052086608326146,0.29246171786765257,0.03842160204746212,27,0.41051945381503524,74,0.3052086608326146,27,0.29246171786765257,27
soh60,45,0.6,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.15626387632622557,0.15626387632622557,0.2596049988197231,34,200,mtl_gru_4task_full200_weight_sweep_checkpoints\soh60\seed_45_best_joint.pt,mtl_gru_4task_full200_weight_sweep_checkpoints\soh60\seed_45_best_soh.pt,0.038159736333656886,0.3918762166619594,0.3033443203870629,0.3050397218962134,0.029511420028087234,160,0.3918762166619594,34,0.3029273977596824,65,0.26253439343521195,160
soh60,46,0.6,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.16196188378007986,0.16196188378007986,0.27056534131281856,143,200,mtl_gru_4task_full200_weight_sweep_checkpoints\soh60\seed_46_best_joint.pt,mtl_gru_4task_full200_weight_sweep_checkpoints\soh60\seed_46_best_soh.pt,0.037843646599807046,0.4557467751166437,0.32582734640932387,0.26284359712549965,0.033845025607106186,33,0.42416390473155813,35,0.3115463378426065,185,0.26284359712549965,143
