电芯编号,电芯文件夹,文件数量,成功读取文件数,通过筛选的 SOH 数量,初始 SOH,最终 SOH,SOH 覆盖范围,SOH 覆盖跨度,温度,工况,是否存在缺失或异常,异常说明,最终 SOH 分组,工况分组
107,METABatt_Sony_Murata_18650VTC6_107,28,28,19,96.1,70.9,70.9–96.1,25.19999999999999,24.75–29.62,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 9 个,70–75,"PUL, PAU"
108,METABatt_Sony_Murata_18650VTC6_108,28,28,11,95.9,64.0,64.0–95.9,31.900000000000006,23.88–28.81,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 17 个,60–70,"PUL, PAU"
109,METABatt_Sony_Murata_18650VTC6_109,28,28,11,96.2,64.4,64.4–96.2,31.799999999999997,24.00–29.38,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 17 个,60–70,"PUL, PAU"
110,METABatt_Sony_Murata_18650VTC6_110,30,30,11,95.7,64.9,64.9–95.7,30.799999999999997,23.00–25.56,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 19 个,60–70,"PUL, PAU"
111,METABatt_Sony_Murata_18650VTC6_111,28,27,8,96.3,63.4,63.4–96.3,32.9,24.75–30.19,"PUL, PAU",True,无法使用的文件 1 个；未通过三 SOC/四脉冲筛选的 SOH 阶段 18 个,60–70,"PUL, PAU"
112,METABatt_Sony_Murata_18650VTC6_112,32,31,11,96.4,64.4,64.4–96.4,32.0,24.25–29.00,"PUL, PAU",True,无法使用的文件 1 个；未通过三 SOC/四脉冲筛选的 SOH 阶段 19 个,60–70,"PUL, PAU"
113,METABatt_Sony_Murata_18650VTC6_113,29,28,0,96.1,81.4,81.4–96.1,14.699999999999989,24.50–29.81,"PUL, PAU",True,无法使用的文件 1 个；未通过三 SOC/四脉冲筛选的 SOH 阶段 27 个,80–85,"PUL, PAU"
114,METABatt_Sony_Murata_18650VTC6_114,30,29,0,96.1,65.6,65.6–96.1,30.5,24.06–27.19,"PUL, PAU",True,无法使用的文件 1 个；未通过三 SOC/四脉冲筛选的 SOH 阶段 29 个,60–70,"PUL, PAU"
115,METABatt_Sony_Murata_18650VTC6_115,28,28,11,96.0,64.2,64.2–96.0,31.799999999999997,24.19–29.75,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 17 个,60–70,"PUL, PAU"
116,METABatt_Sony_Murata_18650VTC6_116,22,22,12,96.2,67.6,67.6–96.2,28.60000000000001,19.44–25.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 10 个,60–70,"PUL, PAU"
