电芯编号,电芯文件夹,文件数量,成功读取文件数,通过筛选的 SOH 数量,初始 SOH,最终 SOH,SOH 覆盖范围,SOH 覆盖跨度,温度,工况,是否存在缺失或异常,异常说明,最终 SOH 分组,工况分组
192,METABatt_Sony_Murata_18650VTC6_192,27,27,14,96.9,63.5,63.5–96.9,33.400000000000006,22.31–25.62,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,60–70,"PUL, PAU"
193,METABatt_Sony_Murata_18650VTC6_193,5,5,5,95.8,89.6,89.6–95.8,6.200000000000003,24.44–25.75,"PUL, PAU",False,无,85–90,"PUL, PAU"
194,METABatt_Sony_Murata_18650VTC6_194,30,30,0,95.9,64.0,64.0–95.9,31.900000000000006,24.62–26.94,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 30 个,60–70,"PUL, PAU"
195,METABatt_Sony_Murata_18650VTC6_195,22,22,22,97.3,74.7,74.7–97.3,22.599999999999994,19.44–25.56,"PUL, PAU",False,无,70–75,"PUL, PAU"
196,METABatt_Sony_Murata_18650VTC6_196,23,23,9,97.3,64.0,64.0–97.3,33.3,19.75–25.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 14 个,60–70,"PUL, PAU"
201,METABatt_Sony_Murata_18650VTC6_201,30,30,13,95.8,55.7,55.7–95.8,40.099999999999994,24.75–25.56,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 16 个,≤60,"PUL, PAU"
202,METABatt_Sony_Murata_18650VTC6_202,30,30,15,95.8,54.6,54.6–95.8,41.199999999999996,23.56–27.81,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 14 个,≤60,"PUL, PAU"
203,METABatt_Sony_Murata_18650VTC6_203,30,30,15,95.9,54.8,54.8–95.9,41.10000000000001,23.31–27.56,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 15 个,≤60,"PUL, PAU"
204,METABatt_Sony_Murata_18650VTC6_204,30,30,15,96.0,54.8,54.8–96.0,41.2,23.50–27.62,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 15 个,≤60,"PUL, PAU"
205,METABatt_Sony_Murata_18650VTC6_205,30,30,15,96.0,54.7,54.7–96.0,41.3,23.38–27.38,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 14 个,≤60,"PUL, PAU"
206,METABatt_Sony_Murata_18650VTC6_206,27,27,23,96.8,72.3,72.3–96.8,24.5,22.12–25.44,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 4 个,70–75,"PUL, PAU"
207,METABatt_Sony_Murata_18650VTC6_207,30,30,15,95.8,54.8,54.8–95.8,41.0,23.44–27.75,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 14 个,≤60,"PUL, PAU"
209,METABatt_Sony_Murata_18650VTC6_209,30,30,15,96.1,54.3,54.3–96.1,41.8,23.44–26.25,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 15 个,≤60,"PUL, PAU"
210,METABatt_Sony_Murata_18650VTC6_210,30,30,15,95.7,54.4,54.4–95.7,41.300000000000004,23.44–26.19,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 15 个,≤60,"PUL, PAU"
211,METABatt_Sony_Murata_18650VTC6_211,30,30,15,95.9,54.7,54.7–95.9,41.2,23.38–27.62,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 14 个,≤60,"PUL, PAU"
212,METABatt_Sony_Murata_18650VTC6_212,22,22,10,97.1,65.3,65.3–97.1,31.799999999999997,19.69–25.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,60–70,"PUL, PAU"
213,METABatt_Sony_Murata_18650VTC6_213,27,27,15,96.1,58.2,58.2–96.1,37.89999999999999,23.81–28.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,≤60,"PUL, PAU"
214,METABatt_Sony_Murata_18650VTC6_214,30,30,15,95.8,54.4,54.4–95.8,41.4,23.31–25.88,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 15 个,≤60,"PUL, PAU"
215,METABatt_Sony_Murata_18650VTC6_215,30,30,15,95.9,54.4,54.4–95.9,41.50000000000001,23.44–27.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 15 个,≤60,"PUL, PAU"
216,METABatt_Sony_Murata_18650VTC6_216,30,30,15,95.8,54.7,54.7–95.8,41.099999999999994,23.38–27.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 15 个,≤60,"PUL, PAU"
217,METABatt_Sony_Murata_18650VTC6_217,30,30,15,95.4,54.7,54.7–95.4,40.7,23.50–27.62,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 14 个,≤60,"PUL, PAU"
218,METABatt_Sony_Murata_18650VTC6_218,22,22,22,100.4,74.8,74.8–100.4,25.60000000000001,19.19–25.38,"PUL, PAU",False,无,70–75,"PUL, PAU"
219,METABatt_Sony_Murata_18650VTC6_219,30,30,15,95.6,54.0,54.0–95.6,41.599999999999994,23.56–27.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 15 个,≤60,"PUL, PAU"
220,METABatt_Sony_Murata_18650VTC6_220,29,29,16,95.7,60.4,60.4–95.7,35.300000000000004,24.44–25.44,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,60–70,"PUL, PAU"
221,METABatt_Sony_Murata_18650VTC6_221,30,30,15,95.8,54.9,54.9–95.8,40.9,23.44–27.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 14 个,≤60,"PUL, PAU"
222,METABatt_Sony_Murata_18650VTC6_222,30,30,14,95.9,64.7,64.7–95.9,31.200000000000003,23.44–26.06,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 16 个,60–70,"PUL, PAU"
223,METABatt_Sony_Murata_18650VTC6_223,30,30,29,96.0,78.5,78.5–96.0,17.5,24.44–26.19,"PUL, PAU",False,无,75–80,"PUL, PAU"
224,METABatt_Sony_Murata_18650VTC6_224,32,31,14,96.1,64.1,64.1–96.1,32.0,24.50–25.75,"PUL, PAU",True,无法使用的文件 1 个；未通过三 SOC/四脉冲筛选的 SOH 阶段 17 个,60–70,"PUL, PAU"
225,METABatt_Sony_Murata_18650VTC6_225,23,23,10,97.2,64.7,64.7–97.2,32.5,20.06–25.44,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,60–70,"PUL, PAU"
226,METABatt_Sony_Murata_18650VTC6_226,30,30,13,95.8,63.9,63.9–95.8,31.9,24.50–25.88,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 17 个,60–70,"PUL, PAU"
227,METABatt_Sony_Murata_18650VTC6_227,30,30,13,95.8,64.3,64.3–95.8,31.5,23.50–27.94,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 17 个,60–70,"PUL, PAU"
228,METABatt_Sony_Murata_18650VTC6_228,30,30,0,95.9,54.4,54.4–95.9,41.50000000000001,23.38–26.94,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 30 个,≤60,"PUL, PAU"
230,METABatt_Sony_Murata_18650VTC6_230,30,30,13,95.9,63.7,63.7–95.9,32.2,24.44–25.56,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 17 个,60–70,"PUL, PAU"
231,METABatt_Sony_Murata_18650VTC6_231,30,30,14,95.9,64.7,64.7–95.9,31.200000000000003,23.38–27.94,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 16 个,60–70,"PUL, PAU"
232,METABatt_Sony_Murata_18650VTC6_232,30,30,15,95.8,54.6,54.6–95.8,41.199999999999996,23.38–27.81,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 14 个,≤60,"PUL, PAU"
233,METABatt_Sony_Murata_18650VTC6_233,30,30,15,95.9,55.0,55.0–95.9,40.900000000000006,23.44–27.56,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 14 个,≤60,"PUL, PAU"
234,METABatt_Sony_Murata_18650VTC6_234,5,5,5,95.5,92.6,92.6–95.5,2.9000000000000057,24.38–25.44,"PUL, PAU",False,无,90–95,"PUL, PAU"
235,METABatt_Sony_Murata_18650VTC6_235,22,22,10,97.2,65.4,65.4–97.2,31.799999999999997,19.88–25.81,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,60–70,"PUL, PAU"
236,METABatt_Sony_Murata_18650VTC6_236,30,30,0,95.9,50.8,50.8–95.9,45.10000000000001,24.38–26.19,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 30 个,≤60,"PUL, PAU"
237,METABatt_Sony_Murata_18650VTC6_237,31,31,14,96.0,64.1,64.1–96.0,31.900000000000006,24.44–25.75,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 17 个,60–70,"PUL, PAU"
238,METABatt_Sony_Murata_18650VTC6_238,30,30,12,96.0,51.8,51.8–96.0,44.2,24.25–25.56,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 16 个,≤60,"PUL, PAU"
239,METABatt_Sony_Murata_18650VTC6_239,30,30,15,95.6,55.1,55.1–95.6,40.49999999999999,23.50–27.38,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 15 个,≤60,"PUL, PAU"
240,METABatt_Sony_Murata_18650VTC6_240,5,5,5,100.9,89.7,89.7–100.9,11.200000000000003,24.62–25.81,"PUL, PAU",False,无,85–90,"PUL, PAU"
241,METABatt_Sony_Murata_18650VTC6_241,27,27,0,95.8,55.8,55.8–95.8,40.0,24.12–27.12,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 26 个,≤60,"PUL, PAU"
242,METABatt_Sony_Murata_18650VTC6_242,5,5,5,100.9,89.7,89.7–100.9,11.200000000000003,24.56–25.44,"PUL, PAU",False,无,85–90,"PUL, PAU"
243,METABatt_Sony_Murata_18650VTC6_243,30,30,15,96.2,54.4,54.4–96.2,41.800000000000004,23.38–25.88,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 15 个,≤60,"PUL, PAU"
245,METABatt_Sony_Murata_18650VTC6_245,27,27,15,96.3,57.9,57.9–96.3,38.4,23.50–28.81,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,≤60,"PUL, PAU"
246,METABatt_Sony_Murata_18650VTC6_246,30,30,0,95.9,77.8,77.8–95.9,18.10000000000001,24.38–26.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 30 个,75–80,"PUL, PAU"
247,METABatt_Sony_Murata_18650VTC6_247,22,22,10,97.2,65.4,65.4–97.2,31.799999999999997,19.75–25.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,60–70,"PUL, PAU"
248,METABatt_Sony_Murata_18650VTC6_248,5,5,5,100.9,90.8,90.8–100.9,10.100000000000009,24.44–25.62,"PUL, PAU",False,无,90–95,"PUL, PAU"
249,METABatt_Sony_Murata_18650VTC6_249,30,30,0,96.0,55.5,55.5–96.0,40.5,24.56–26.19,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 30 个,≤60,"PUL, PAU"
251,METABatt_Sony_Murata_18650VTC6_251,5,5,5,101.3,95.8,95.8–101.3,5.5,24.31–25.69,"PUL, PAU",False,无,>95,"PUL, PAU"
252,METABatt_Sony_Murata_18650VTC6_252,27,27,17,97.1,66.9,66.9–97.1,30.19999999999999,22.25–25.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 10 个,60–70,"PUL, PAU"
253,METABatt_Sony_Murata_18650VTC6_253,27,27,21,97.0,70.8,70.8–97.0,26.200000000000003,21.94–25.56,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 6 个,70–75,"PUL, PAU"
254,METABatt_Sony_Murata_18650VTC6_254,26,26,26,97.0,76.5,76.5–97.0,20.5,22.06–25.62,"PUL, PAU",False,无,75–80,"PUL, PAU"
255,METABatt_Sony_Murata_18650VTC6_255,27,27,18,96.8,66.1,66.1–96.8,30.700000000000003,22.00–25.56,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 9 个,60–70,"PUL, PAU"
256,METABatt_Sony_Murata_18650VTC6_256,27,27,21,97.1,69.9,69.9–97.1,27.19999999999999,22.12–25.62,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 6 个,60–70,"PUL, PAU"
257,METABatt_Sony_Murata_18650VTC6_257,27,27,19,97.0,69.1,69.1–97.0,27.900000000000006,22.19–25.38,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 8 个,60–70,"PUL, PAU"
258,METABatt_Sony_Murata_18650VTC6_258,22,22,15,97.4,67.8,67.8–97.4,29.60000000000001,20.19–25.62,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 7 个,60–70,"PUL, PAU"
259,METABatt_Sony_Murata_18650VTC6_259,27,27,20,97.0,70.3,70.3–97.0,26.700000000000003,21.94–25.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 7 个,70–75,"PUL, PAU"
260,METABatt_Sony_Murata_18650VTC6_260,27,27,0,97.1,75.4,75.4–97.1,21.69999999999999,22.56–26.25,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 27 个,75–80,"PUL, PAU"
261,METABatt_Sony_Murata_18650VTC6_261,18,18,16,98.3,72.8,72.8–98.3,25.5,24.19–25.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 2 个,70–75,"PUL, PAU"
262,METABatt_Sony_Murata_18650VTC6_262,6,6,6,101.5,92.8,92.8–101.5,8.700000000000003,24.25–25.69,"PUL, PAU",False,无,90–95,"PUL, PAU"
263,METABatt_Sony_Murata_18650VTC6_263,18,18,16,98.7,73.1,73.1–98.7,25.60000000000001,24.00–25.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 2 个,70–75,"PUL, PAU"
264,METABatt_Sony_Murata_18650VTC6_264,27,27,18,96.9,68.3,68.3–96.9,28.60000000000001,21.94–25.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 9 个,60–70,"PUL, PAU"
265,METABatt_Sony_Murata_18650VTC6_265,26,26,17,97.4,67.6,67.6–97.4,29.80000000000001,21.81–25.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 9 个,60–70,"PUL, PAU"
266,METABatt_Sony_Murata_18650VTC6_266,22,22,18,97.9,70.9,70.9–97.9,27.0,19.88–25.75,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 4 个,70–75,"PUL, PAU"
267,METABatt_Sony_Murata_18650VTC6_267,18,18,10,98.4,66.2,66.2–98.4,32.2,24.00–25.25,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 8 个,60–70,"PUL, PAU"
268,METABatt_Sony_Murata_18650VTC6_268,18,18,9,99.0,63.7,63.7–99.0,35.3,24.00–25.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 9 个,60–70,"PUL, PAU"
269,METABatt_Sony_Murata_18650VTC6_269,27,27,0,97.1,82.3,82.3–97.1,14.799999999999997,22.31–26.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 27 个,80–85,"PUL, PAU"
270,METABatt_Sony_Murata_18650VTC6_270,27,27,17,97.3,66.4,66.4–97.3,30.89999999999999,22.06–25.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 10 个,60–70,"PUL, PAU"
271,METABatt_Sony_Murata_18650VTC6_271,22,22,15,97.7,68.1,68.1–97.7,29.60000000000001,19.81–25.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 7 个,60–70,"PUL, PAU"
273,METABatt_Sony_Murata_18650VTC6_273,22,22,15,97.7,68.0,68.0–97.7,29.700000000000003,19.88–25.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 7 个,60–70,"PUL, PAU"
274,METABatt_Sony_Murata_18650VTC6_274,27,27,27,97.5,76.8,76.8–97.5,20.700000000000003,22.00–25.62,"PUL, PAU",False,无,75–80,"PUL, PAU"
275,METABatt_Sony_Murata_18650VTC6_275,18,18,6,98.9,60.8,60.8–98.9,38.10000000000001,24.19–25.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,60–70,"PUL, PAU"
276,METABatt_Sony_Murata_18650VTC6_276,26,26,16,97.5,62.6,62.6–97.5,34.9,22.38–25.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 10 个,60–70,"PUL, PAU"
277,METABatt_Sony_Murata_18650VTC6_277,18,18,9,98.9,64.0,64.0–98.9,34.900000000000006,24.12–25.25,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 9 个,60–70,"PUL, PAU"
278,METABatt_Sony_Murata_18650VTC6_278,18,18,18,98.8,75.2,75.2–98.8,23.599999999999994,24.25–25.50,"PUL, PAU",False,无,75–80,"PUL, PAU"
279,METABatt_Sony_Murata_18650VTC6_279,5,5,5,101.6,96.1,96.1–101.6,5.5,24.19–25.81,"PUL, PAU",False,无,>95,"PUL, PAU"
280,METABatt_Sony_Murata_18650VTC6_280,18,18,18,98.6,74.6,74.6–98.6,24.0,24.12–25.44,"PUL, PAU",False,无,70–75,"PUL, PAU"
281,METABatt_Sony_Murata_18650VTC6_281,18,18,13,98.8,70.7,70.7–98.8,28.099999999999994,24.06–25.25,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 5 个,70–75,"PUL, PAU"
282,METABatt_Sony_Murata_18650VTC6_282,18,18,17,98.9,73.5,73.5–98.9,25.400000000000006,24.00–25.44,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,70–75,"PUL, PAU"
283,METABatt_Sony_Murata_18650VTC6_283,18,18,18,98.8,75.0,75.0–98.8,23.799999999999997,24.12–25.44,"PUL, PAU",False,无,70–75,"PUL, PAU"
285,METABatt_Sony_Murata_18650VTC6_285,18,18,6,99.1,60.8,60.8–99.1,38.3,24.00–25.56,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,60–70,"PUL, PAU"
286,METABatt_Sony_Murata_18650VTC6_286,18,18,1,98.8,72.7,72.7–98.8,26.099999999999994,24.19–26.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 17 个,70–75,"PUL, PAU"
287,METABatt_Sony_Murata_18650VTC6_287,18,18,1,98.9,76.1,76.1–98.9,22.80000000000001,24.31–26.38,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 17 个,75–80,"PUL, PAU"
288,METABatt_Sony_Murata_18650VTC6_288,27,27,14,97.1,63.0,63.0–97.1,34.099999999999994,22.31–25.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,60–70,"PUL, PAU"
289,METABatt_Sony_Murata_18650VTC6_289,6,6,6,101.6,93.0,93.0–101.6,8.599999999999994,24.25–25.50,"PUL, PAU",False,无,90–95,"PUL, PAU"
290,METABatt_Sony_Murata_18650VTC6_290,23,23,10,97.4,64.9,64.9–97.4,32.5,19.38–25.25,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,60–70,"PUL, PAU"
292,METABatt_Sony_Murata_18650VTC6_292,22,22,22,97.9,76.8,76.8–97.9,21.10000000000001,20.12–25.81,"PUL, PAU",False,无,75–80,"PUL, PAU"
293,METABatt_Sony_Murata_18650VTC6_293,4,4,4,101.6,89.7,89.7–101.6,11.899999999999991,24.44–25.75,"PUL, PAU",False,无,85–90,"PUL, PAU"
294,METABatt_Sony_Murata_18650VTC6_294,5,5,5,101.6,91.6,91.6–101.6,10.0,24.38–25.62,"PUL, PAU",False,无,90–95,"PUL, PAU"
295,METABatt_Sony_Murata_18650VTC6_295,21,21,21,97.3,74.7,74.7–97.3,22.599999999999994,19.50–25.69,"PUL, PAU",False,无,70–75,"PUL, PAU"
299,METABatt_Sony_Murata_18650VTC6_299,5,5,5,101.4,91.5,91.5–101.4,9.900000000000006,24.44–25.44,"PUL, PAU",False,无,90–95,"PUL, PAU"
301,METABatt_Sony_Murata_18650VTC6_301,26,26,9,97.1,50.8,50.8–97.1,46.3,22.31–25.56,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 17 个,≤60,"PUL, PAU"
302,METABatt_Sony_Murata_18650VTC6_302,26,26,18,96.8,71.4,71.4–96.8,25.39999999999999,22.62–25.56,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 8 个,70–75,"PUL, PAU"
303,METABatt_Sony_Murata_18650VTC6_303,27,27,0,96.8,74.0,74.0–96.8,22.799999999999997,22.19–26.38,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 27 个,70–75,"PUL, PAU"
304,METABatt_Sony_Murata_18650VTC6_304,26,26,7,96.8,59.0,59.0–96.8,37.8,22.44–25.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 19 个,≤60,"PUL, PAU"
305,METABatt_Sony_Murata_18650VTC6_305,22,22,20,97.4,73.2,73.2–97.4,24.200000000000003,20.31–25.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 2 个,70–75,"PUL, PAU"
306,METABatt_Sony_Murata_18650VTC6_306,22,22,19,97.2,72.6,72.6–97.2,24.60000000000001,19.94–25.62,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 3 个,70–75,"PUL, PAU"
307,METABatt_Sony_Murata_18650VTC6_307,26,26,9,96.9,51.2,51.2–96.9,45.7,22.38–25.44,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 17 个,≤60,"PUL, PAU"
308,METABatt_Sony_Murata_18650VTC6_308,26,26,19,96.6,71.3,71.3–96.6,25.299999999999997,22.31–25.38,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 7 个,70–75,"PUL, PAU"
309,METABatt_Sony_Murata_18650VTC6_309,26,26,19,96.8,70.9,70.9–96.8,25.89999999999999,22.62–25.19,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 7 个,70–75,"PUL, PAU"
310,METABatt_Sony_Murata_18650VTC6_310,26,26,7,96.8,59.2,59.2–96.8,37.599999999999994,21.94–25.38,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 19 个,≤60,"PUL, PAU"
311,METABatt_Sony_Murata_18650VTC6_311,26,26,0,96.8,60.6,60.6–96.8,36.199999999999996,22.56–25.94,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 26 个,60–70,"PUL, PAU"
312,METABatt_Sony_Murata_18650VTC6_312,27,27,12,96.8,57.0,57.0–96.8,39.8,22.25–25.12,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 15 个,≤60,"PUL, PAU"
313,METABatt_Sony_Murata_18650VTC6_313,26,26,8,96.7,50.5,50.5–96.7,46.2,22.19–25.56,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 18 个,≤60,"PUL, PAU"
314,METABatt_Sony_Murata_18650VTC6_314,26,26,17,96.9,63.6,63.6–96.9,33.300000000000004,22.38–25.25,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 9 个,60–70,"PUL, PAU"
315,METABatt_Sony_Murata_18650VTC6_315,26,26,0,96.8,73.0,73.0–96.8,23.799999999999997,22.62–25.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 26 个,70–75,"PUL, PAU"
317,METABatt_Sony_Murata_18650VTC6_317,22,22,20,97.3,73.1,73.1–97.3,24.200000000000003,20.06–25.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 2 个,70–75,"PUL, PAU"
318,METABatt_Sony_Murata_18650VTC6_318,25,25,7,96.9,50.9,50.9–96.9,46.00000000000001,22.19–25.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 18 个,≤60,"PUL, PAU"
319,METABatt_Sony_Murata_18650VTC6_319,27,27,14,96.8,66.0,66.0–96.8,30.799999999999997,22.00–25.38,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,60–70,"PUL, PAU"
320,METABatt_Sony_Murata_18650VTC6_320,26,26,23,96.7,73.0,73.0–96.7,23.700000000000003,22.38–25.19,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 3 个,70–75,"PUL, PAU"
321,METABatt_Sony_Murata_18650VTC6_321,26,26,17,96.8,61.6,61.6–96.8,35.199999999999996,22.19–25.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 9 个,60–70,"PUL, PAU"
322,METABatt_Sony_Murata_18650VTC6_322,26,26,7,96.8,59.3,59.3–96.8,37.5,22.69–25.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 19 个,≤60,"PUL, PAU"
323,METABatt_Sony_Murata_18650VTC6_323,25,25,8,96.8,51.1,51.1–96.8,45.699999999999996,22.12–25.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 17 个,≤60,"PUL, PAU"
324,METABatt_Sony_Murata_18650VTC6_324,27,27,10,96.8,54.3,54.3–96.8,42.5,22.19–25.38,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 17 个,≤60,"PUL, PAU"
325,METABatt_Sony_Murata_18650VTC6_325,27,27,12,96.7,56.8,56.8–96.7,39.900000000000006,22.44–25.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 15 个,≤60,"PUL, PAU"
326,METABatt_Sony_Murata_18650VTC6_326,27,27,11,97.0,57.6,57.6–97.0,39.4,21.88–25.25,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 16 个,≤60,"PUL, PAU"
329,METABatt_Sony_Murata_18650VTC6_329,27,27,13,97.0,57.2,57.2–97.0,39.8,22.19–25.38,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 14 个,≤60,"PUL, PAU"
330,METABatt_Sony_Murata_18650VTC6_330,27,27,10,96.6,53.9,53.9–96.6,42.699999999999996,22.25–25.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 17 个,≤60,"PUL, PAU"
332,METABatt_Sony_Murata_18650VTC6_332,27,27,21,96.8,70.3,70.3–96.8,26.5,22.00–25.44,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 6 个,70–75,"PUL, PAU"
333,METABatt_Sony_Murata_18650VTC6_333,26,26,6,96.8,57.5,57.5–96.8,39.3,22.38–25.56,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 20 个,≤60,"PUL, PAU"
334,METABatt_Sony_Murata_18650VTC6_334,27,27,11,96.8,57.4,57.4–96.8,39.4,22.38–25.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 16 个,≤60,"PUL, PAU"
