Battery_ID,筛选分类,split,ordinal,SOH,capacity_SOH,10%_CHA_1.5A__R0,10%_CHA_3.0A__R0,50%_CHA_1.5A__R0,50%_CHA_3.0A__R0,50%_DCH_3.0A__R0,90%_CHA_1.5A__R0,90%_DCH_3.0A__R0,10%_CHA_1.5A__R1,10%_CHA_3.0A__R1,50%_CHA_1.5A__R1,50%_CHA_3.0A__R1,50%_DCH_3.0A__R1,90%_CHA_1.5A__R1,90%_DCH_3.0A__R1,10%_CHA_1.5A__R2,10%_CHA_3.0A__R2,50%_CHA_1.5A__R2,50%_CHA_3.0A__R2,50%_DCH_3.0A__R2,90%_CHA_1.5A__R2,90%_DCH_3.0A__R2
4,A完整,train,1,97.1,97.1,18.007673363378593,18.60247975656433,16.076454202710604,16.35178859282342,16.332857316422004,19.045519960952223,18.73060820211303,16.566061671855188,15.26165435754239,9.016763522334688,8.787829548387656,8.890568540857467,9.649921024893194,10.501193668225158,10.903399006761363,9.724469769275004,4.010484179982069,3.699391089421803,4.216411489604607,3.336770644877116,3.767596117677588
4,A完整,train,2,97.0,97.0,18.467129003355545,18.890459715389376,16.75877843153868,16.614210517503132,16.41579791242312,19.287418836469385,19.108687018927043,16.50069566709203,15.30669417890102,8.519742923265367,8.612992276985528,8.882071184513972,9.6962739619154,10.359671325522894,11.042485253795247,9.81136718319664,3.9289048797599495,3.713442890438453,4.216466444824457,3.345003303265582,3.786945144340536
4,A完整,train,3,95.6,95.6,18.46251782610957,18.548214688187265,16.54511197085135,16.5462809271339,16.479911379524648,19.581052710825183,19.415963808418628,16.629887765124614,15.886022389930268,8.879283875931117,8.905391746449512,9.09687115627696,10.065467254883494,10.575329421195685,10.967205405859188,,4.007277127511348,3.7020452711810856,4.2504929866224135,3.4152551166858545,3.742886352511684
4,A完整,train,4,93.9,93.9,18.07774291108625,18.592005080674685,16.760523034525573,16.893595456263657,16.625859688397547,19.871878742458147,19.97265201537502,16.907352557929205,15.655620802094282,9.078549361477766,8.868758737629271,9.212660544986749,10.49811019415099,10.768037805452645,10.694524073769786,9.675093711586834,3.959272561523456,3.707240120551684,4.266336088320898,3.5158972147651504,3.75656870029226
4,A完整,train,5,92.3,92.3,18.01609092216449,18.6484468331783,17.19342258595758,17.101547432413376,17.17162087945352,20.85246217937574,20.39140788529003,17.01409619218507,15.684676906994229,8.817767845899937,9.015852758474749,8.984461295466643,10.32522971924,10.920631096905296,10.564661353041108,9.592148590865303,3.998850789223102,3.709994299995856,4.264095181529665,3.6290533240876943,3.748030629019593
4,A完整,train,6,90.9,90.9,18.818278586830303,19.191754270854137,17.233734082362503,17.406519992765773,16.944240453546513,21.488730141691057,21.073282239963643,16.33812552223745,15.448483903940003,9.143557327913994,8.93410360518819,9.49349084179037,10.551107699685838,11.027886390111176,10.46048738304936,9.563870982241664,4.023474217554446,3.699406986832569,4.325268627439156,3.61918901113157,3.784971337052835
4,A完整,train,7,89.5,89.5,19.098875814103035,19.34992966981416,17.560120602056706,17.847084294099282,17.703918871887563,22.233831635279024,22.25651969203184,16.29005246987654,15.44476167643431,9.268279644698517,8.979155169932627,9.179143503974188,10.758582833060204,10.742027348545218,10.383871472075375,9.461938944074808,4.0154190202576245,3.689635935894772,4.324510710723942,3.794008995518981,3.770419216236984
4,A完整,train,8,88.0,88.0,19.68912943723005,19.839039118135293,18.36303020008728,17.456961495673013,18.165721129792164,23.359947479852003,22.70910544919367,16.22640448900712,15.532753446347549,9.058442089702671,9.95328209650538,9.410957297706656,10.999501498387056,11.526344447510228,10.336546481602712,9.384568730244236,4.082233469312927,3.728670937749992,4.314194681952835,3.9207046320026895,3.851216054708763
4,A完整,train,9,86.6,86.6,19.99501579424826,20.14804501990449,18.705694893376663,18.244291887912443,18.416053091079387,24.149774390301875,24.00186378072689,16.333979594584967,15.635503201297997,9.322354666851146,9.78532712109199,9.78792008593651,11.615523140039167,11.61741948358713,10.292322250344078,9.378371681235487,4.15228082488163,3.7726578456010462,4.375902099879366,4.077348766626715,3.9150091608311928
4,A完整,train,10,85.0,85.0,20.78131671185942,20.688730078806312,19.0988099334028,19.63661081189955,19.317361664965205,25.5159586832279,25.183816732499903,16.547102679315643,15.936749931899952,9.88598485905474,9.294655552111772,9.799438804921817,11.963551206621768,12.075056042850852,10.2493783524261,9.413108152903186,4.315698263875807,3.869286532781405,4.489709306295802,4.149030623744464,3.938805168218949
4,A完整,train,11,82.5,82.5,22.077376842761,22.354737957491952,20.637702351537538,20.65879820651556,20.34532085755672,27.746934825414087,27.70527798891069,16.776168669950042,15.917944019773742,10.131970031608112,10.147074589599445,10.62609940509137,12.671913798352488,12.475066629439963,10.447829303181416,9.540826047494267,4.3666622258144505,4.011211475464873,4.6570106793909565,4.322358912341229,4.065716545515789
