Battery_ID,筛选分类,split,ordinal,SOH,capacity_SOH,SOC10_R0,SOC50_R0,SOC90_R0,SOC10_R1,SOC50_R1,SOC90_R1,SOC10_R2,SOC50_R2,SOC90_R2
4,A完整,train,1,97.1,97.1,18.30507655997146,16.332857316422004,18.888064081532626,15.91385801469879,8.890568540857467,10.075557346559176,10.313934388018183,4.010484179982069,3.5521833812773522
4,A完整,train,2,97.0,97.0,18.67879435937246,16.614210517503132,19.198052927698214,15.903694922996525,8.612992276985528,10.027972643719147,10.426926218495943,3.9289048797599495,3.5659742238030594
4,A完整,train,3,95.6,95.6,18.505366257148417,16.54511197085135,19.498508259621907,16.25795507752744,8.905391746449512,10.320398338039588,10.967205405859188,4.007277127511348,3.579070734598769
4,A完整,train,4,93.9,93.9,18.334873995880468,16.760523034525573,19.922265378916585,16.281486680011742,9.078549361477766,10.633073999801816,10.18480889267831,3.959272561523456,3.636232957528705
4,A完整,train,5,92.3,92.3,18.332268877671396,17.17162087945352,20.621935032332885,16.34938654958965,8.984461295466643,10.622930408072648,10.078404971953205,3.998850789223102,3.6885419765536436
4,A完整,train,6,90.9,90.9,19.005016428842218,17.233734082362503,21.28100619082735,15.893304713088728,9.143557327913994,10.789497044898507,10.01217918264551,4.023474217554446,3.7020801740922025
4,A完整,train,7,89.5,89.5,19.2244027419586,17.703918871887563,22.24517566365543,15.867407073155423,9.179143503974188,10.750305090802712,9.922905208075091,4.0154190202576245,3.7822141058779826
4,A完整,train,8,88.0,88.0,19.76408427768267,18.165721129792164,23.034526464522838,15.879578967677334,9.410957297706656,11.262922972948642,9.860557605923475,4.082233469312927,3.885960343355726
4,A完整,train,9,86.6,86.6,20.071530407076374,18.416053091079387,24.075819085514382,15.984741397941482,9.78532712109199,11.616471311813148,9.835346965789782,4.15228082488163,3.996178963728954
4,A完整,train,10,85.0,85.0,20.735023395332867,19.317361664965205,25.3498877078639,16.241926305607798,9.799438804921817,12.01930362473631,9.831243252664644,4.315698263875807,4.043917895981706
4,A完整,train,11,82.5,82.5,22.216057400126477,20.637702351537538,27.72610640716239,16.34705634486189,10.147074589599445,12.573490213896225,9.994327675337843,4.3666622258144505,4.1940377289285085
4,A完整,train,12,77.0,77.0,23.901274762714138,22.72610396800076,30.908284235473197,16.9950245280787,11.163769464280444,14.105726654220046,9.945655112239631,4.512332382295043,4.4895906135859756
4,A完整,train,13,69.2,69.2,26.640408776541044,25.61273645051106,33.583938944893404,16.549295234581002,12.227776067492806,16.622530277357328,8.709842012630805,4.594072721866057,4.933046568515901
4,A完整,train,14,66.9,66.9,27.848909782176023,27.405977375992688,36.52294741713848,15.025137757005815,12.065522446811396,16.804934243620544,6.674452141868677,4.757705812968638,5.0936628638022965
4,A完整,train,15,65.3,65.3,28.699861807793692,28.518291057828623,36.50415599159696,13.497765963366703,12.82805699235808,20.801085438756193,5.602487048878679,4.779921633467445,5.225913502735873
4,A完整,train,16,64.8,64.8,29.771395223511476,29.676955632185344,36.29249250945885,13.114581633213692,12.303474759594964,23.98196019572226,5.520673535667022,4.90064998367945,5.3427110291553
4,A完整,train,17,64.0,64.0,30.384103121050213,30.509035424804782,38.312751322000636,13.087794398649898,12.643471134335966,27.03609428714997,5.421490121679977,4.940555471908824,4.945836925642038
4,A完整,train,18,63.4,63.4,31.056276333501202,31.487356844560345,43.44767680859539,14.695515782289021,12.50456111314973,23.134383237299787,6.578460753556961,5.169343306771584,4.710696017653546
4,A完整,train,19,62.7,62.7,31.743513267827502,32.271593788393275,41.596027203743844,14.673468465426115,12.460210720135617,27.13753561177989,6.404554567416916,5.232644762948185,4.712890390739869
