split,task,component,N seeds,N cells,N points,MAE macro [std] mean,MAE macro [std] std,MAE pooled [std] mean,MAE pooled [std] std,RMSE pooled [std] mean,RMSE pooled [std] std,R2 pooled [std] mean,R2 pooled [std] std,MAE macro [physical] mean,MAE macro [physical] std,MAE pooled [physical] mean,MAE pooled [physical] std,RMSE pooled [physical] mean,RMSE pooled [physical] std,R2 pooled [physical] mean,R2 pooled [physical] std,MAPE macro [%] mean,MAPE macro [%] std
val,R1,SOC10_R1,5,45,658,0.36044270962896446,0.005752869715791456,0.3742219412552849,0.004528376327196541,0.646213221153763,0.006680862904615688,0.8702917290197354,0.0026859041475073594,1.417972145220607,0.025699074270701883,1.5017872592056658,0.026021411894956714,3.762849391031723,0.017135084294313895,0.7890064878658233,0.0019209914721083272,5.5531951238863915,0.12317091968665662
val,R1,SOC50_R1,5,45,656,0.3139497499855707,0.009550643502508397,0.32797436150111736,0.010564381306094661,0.5391089835644982,0.012138216911067336,0.868451234073194,0.0059799389993556475,0.8611986949472623,0.02480622337136164,0.9063107176345133,0.026555814430146783,1.9177382073391709,0.03960249824203861,0.828217997188154,0.007076553252877834,5.54640691573822,0.19594161582669162
val,R1,SOC90_R1,5,44,467,0.31894531742665577,0.010088833011245564,0.3131206505426617,0.011603068120867492,0.43497180759861065,0.011038166172447506,0.8218801052177044,0.009084739593001195,4.072469666262041,0.1336616024536959,3.598332825327218,0.12626265526044106,6.379559596635498,0.27351768644240987,0.7657422533737297,0.02018556218700777,12.652144615278996,0.5015868247976032
test,R1,SOC10_R1,5,45,613,0.3107689928676395,0.010674790340880393,0.3150794578062866,0.009660979951900217,0.48301463190386285,0.013128629988907051,0.870494472571765,0.006968736444501699,1.0629023563926736,0.04340481901836458,1.065273965269038,0.03788980582774519,1.9066729516149408,0.07161637052186282,0.8519164498192799,0.011044615146440225,4.891159785935795,0.1938218265253505
test,R1,SOC50_R1,5,45,616,0.3191286834218664,0.021498579589982216,0.3320669172072213,0.021600669160193542,0.5062421021810958,0.006699086014602563,0.821956797978349,0.0047503275701144005,0.8119848825776265,0.050873257855848,0.8459959745099951,0.050063145030273884,1.5122855968357911,0.020126429842565498,0.7822722353401705,0.005817556606476241,5.784900195155415,0.4625867515717066
test,R1,SOC90_R1,5,44,450,0.27569952404059844,0.014671890098044716,0.2785389640934202,0.01599439441602903,0.3810356045511894,0.02257259511456721,0.7929573677183523,0.025299988094217334,3.0254219367026547,0.21821292361224337,2.8127138434347776,0.20817960740170427,4.286557762216329,0.3759121163089851,0.7353503843541379,0.04773691901818368,11.380319630094428,0.817308723774315
