seed,split,task,MAE macro [std],MAE pooled [std],RMSE pooled [std],R2 pooled [std],MAE macro [physical],MAE pooled [physical],RMSE pooled [physical],R2 pooled [physical],MAPE macro [%],unit
42,test,R1,0.29535988888228815,0.2981517696620732,0.45305760492485764,0.8330206753644164,1.6262395154403109,1.5152127265560627,2.535048660939982,0.7933238448706899,7.140321566589219,R original unit
42,val,R1,0.3216333670747255,0.32923923725402265,0.5336452254428738,0.8576417672127304,2.0593210867787164,1.9514453363350481,4.049092684943244,0.7942574130204448,7.589881781957399,R original unit
43,test,R1,0.29354566751825356,0.3007463674353075,0.4566819270476277,0.8300440796400474,1.5476874562791376,1.5121892308832603,2.500857374586873,0.7992861254191701,6.938669637653105,R original unit
43,val,R1,0.3347631441158214,0.33748127401532874,0.5420619414971181,0.8537650187100301,2.1356443037609423,1.977559936369885,3.9222100375442097,0.7997627942154891,7.8754968416828754,R original unit
44,test,R1,0.3044787822133182,0.31200867453607833,0.46200333547512473,0.8180732752791208,1.7313854195246503,1.6727084520191162,2.7300138999731565,0.7708012158772487,7.662630896840265,R original unit
44,val,R1,0.32938768611936303,0.33736930581539754,0.5433516104247759,0.8520791476758927,2.1084370992613635,2.004529171713975,3.983718082585103,0.7969244905770246,7.946452854252968,R original unit
45,test,R1,0.29830032288910907,0.30621327856271074,0.4529046239355394,0.8315283096230743,1.5980843285232977,1.5634949309645225,2.588969262539942,0.7887066450208086,7.273914287895408,R original unit
45,val,R1,0.33303814652429775,0.340980772732034,0.5392475768660506,0.8538013695038952,2.0981055783551725,2.0092281469404867,3.9998715143365815,0.7956410150588332,7.994309181680209,R original unit
46,test,R1,0.3176440057138716,0.3256888083153771,0.4591730730104305,0.829681390540785,1.6637852396875277,1.609700964933389,2.4876379864051503,0.7971139513347297,7.745096296331398,R original unit
46,val,R1,0.3367406179011105,0.34712433234832374,0.5421836662973011,0.8504178107485081,2.184559442560324,2.0679554122529353,4.145353005601515,0.7850255178410533,8.180103765265892,R original unit
