horizon,MAE_std_mean,MAE_std_std,RMSE_std_mean,RMSE_std_std,MAE_phys_mean,MAE_phys_std,RMSE_phys_mean,RMSE_phys_std,N_component_min,N_component_max
1,0.15763971797775428,0.005984649704563453,0.22875473589013176,0.007541236723145709,0.741256295714713,0.0425837496622071,1.211615851212323,0.08514294760467801,44,45
2,0.19348476784954954,0.011012027909589559,0.26666172109353037,0.013026202321290106,0.9285341228258689,0.07390756775780787,1.5832747410862271,0.19693636700505648,41,45
3,0.2043617983600366,0.010948679716095597,0.28337932532448284,0.01448546132246817,0.8910069321631614,0.05405580380049705,1.2916281733969859,0.08668431828453556,39,45
4,0.23245413795381098,0.01525637865909414,0.3409795552105401,0.018668987682260444,1.1091848043657457,0.061619959673755935,1.7909540303846831,0.08502504084023005,35,42
5,0.3239002124874979,0.014028516062397663,0.48710834001793274,0.010982207434446249,1.633367905694072,0.06124422752282287,2.6231494680774494,0.05087131018248513,35,42
6,0.3141896040787543,0.011288804476454398,0.4449045779602641,0.01705004402238853,1.5737151438437078,0.03393594513206606,2.2957051609074073,0.09482257726624842,34,42
7,0.3083332619514897,0.016219943086871597,0.44676858661955265,0.009999777571990135,1.533023894532305,0.07541565821482271,2.3049815180334967,0.07247006597301382,33,42
8,0.3608185558566196,0.016108092854008667,0.5165837800943224,0.006010205227269298,1.8744773634880267,0.07225694338293806,2.7842510021040106,0.06718818755003127,31,42
9,0.3900665145285396,0.013024767428075845,0.5687953851960782,0.0106995154653258,1.906148380589519,0.10284778029778895,3.0801361286909748,0.12784648931576745,26,40
10,0.3385002013423767,0.02211883514117844,0.48600376064586126,0.01099315325162225,1.8257972310702726,0.1387831054065798,2.871942360559469,0.10542546853087435,27,41
11,0.39867733993545934,0.019904537547254478,0.5398298112527146,0.022236666673705822,2.234543757437224,0.19562558850680267,3.1630254165393863,0.28504063363538595,27,41
12,0.4670638643445388,0.0061882652009015455,0.6854630014727887,0.009092499101776362,2.8353907790574526,0.08075723225954928,4.2483939787904275,0.13898462334109787,21,32
13,0.33238521569447277,0.033915425013705175,0.4483614425558205,0.03420920592805564,1.7370865807877955,0.22574530956671968,2.611140879597511,0.17925348163296798,20,32
14,0.3937732867620609,0.026396627160491563,0.5084306187639924,0.029675394058984682,2.376098275779414,0.2921503114545647,3.2607073396702275,0.46410373147609185,12,27
15,0.3244498683096976,0.029769229499763197,0.43592305800330244,0.026748789035171708,1.9783724839113863,0.30975315482284266,2.8284146595942077,0.43764923635144404,14,27
16,0.3593087971448484,0.011177552295257371,0.5024317515486489,0.006182039904752078,1.6172934258080969,0.1298998089051769,2.488623601411857,0.1983543258235505,10,24
17,0.45280707631082767,0.04709449105330981,0.4912617647419542,0.061019953352025647,2.461614145942673,0.3077145003853294,2.553757674452606,0.33541068968013144,1,7
18,0.3565082752456267,0.059952990335156144,0.46727838511351305,0.05563236462039118,1.0952688364309107,0.18159739900149974,1.5000893270196882,0.17995988564334053,3,3
