horizon,MAE_std_mean,MAE_std_std,RMSE_std_mean,RMSE_std_std,MAE_phys_mean,MAE_phys_std,RMSE_phys_mean,RMSE_phys_std,N_component_min,N_component_max
1,0.1286740813680269,0.006372363316240076,0.19746634133324076,0.005900070032003434,0.883630014847318,0.03725690337208385,1.325413884046558,0.020051334962627756,45,45
2,0.13580116170257805,0.00800401176952521,0.20927805600930402,0.008459786031387685,1.0105035569803715,0.04871905980068149,1.625570932127991,0.03844506216641869,44,45
3,0.1913110363905503,0.008312428432521907,0.3611700901670034,0.014503065532736446,1.3261875484401142,0.056767197850662254,2.2661377208507325,0.09489795927993681,44,45
4,0.15950681207196063,0.00629611564357071,0.24083959016001882,0.0077477650691072115,1.1918977048946826,0.0537613527585229,1.759678930332754,0.05420221300615859,41,42
5,0.23091565487202614,0.003641329815766138,0.47270556993338564,0.007554830943534209,1.580730528821333,0.026796407736977217,2.649567995853009,0.053765696652761916,41,42
6,0.22258684024185177,0.013099682905162677,0.36148165826154094,0.02132182733452034,1.6375898063881258,0.08819495158377202,2.453421024322217,0.14140469753513354,42,42
7,0.2499902850323088,0.00995694449544648,0.384534093598428,0.016057249258548303,1.827499097244494,0.0697581800952991,2.6109068045778474,0.08048519345077572,41,42
8,0.2776232035476346,0.01069444281906116,0.4064595251999036,0.013595502971761191,2.068998914971165,0.08258250948927363,2.939462335994796,0.07222727869384005,40,42
9,0.28279834515051366,0.016646920938117808,0.438179978513222,0.03232609200993352,2.0947250607931225,0.09879371530196376,2.917352956332719,0.1196537755933756,37,40
10,0.27569442738057937,0.017162126119482927,0.3760285176542343,0.021652252621035588,2.2360673186279008,0.11809127234014316,3.0002687027582935,0.08189839350399482,37,41
11,0.29037560941867796,0.009806476216745434,0.4207975938866447,0.021137887030643225,2.3363089864772233,0.10305672194050183,3.1803931379869526,0.12528346664138845,35,41
12,0.285016244696215,0.010641712291712697,0.3934899088609431,0.01359925837716928,2.3631819876083755,0.0687855720884098,3.200892210326721,0.0744704022115678,28,32
13,0.28644401539856335,0.013669312943059325,0.4011707591141441,0.01768457231450513,2.392013775405306,0.09899756007138971,3.2772041158478755,0.09487059318769747,25,32
14,0.28714367098018756,0.014006519136267711,0.3878387170542091,0.011237710172038638,2.6121542651641336,0.09617772743463014,3.59734824290879,0.05008531396943414,17,27
15,0.2988711286520148,0.014774419458790844,0.40249924793156183,0.016936000298766955,2.592658516186569,0.09885919511511118,3.4498411336318187,0.0957950085631953,20,27
16,0.2556195295696565,0.02866774618813588,0.3553373357234884,0.031118565982089494,2.255766737586298,0.24763839060002613,3.153502568473686,0.28183006227826246,15,24
17,0.18328717776707243,0.021012204853275727,0.23232599588006836,0.036291751081988025,1.6090363122040792,0.17460911501851129,1.9879643853271407,0.26934869533584505,3,7
18,0.367998304300838,0.0696313558637739,0.3819730403921516,0.0694034480442427,3.060171050388086,0.6047542788191651,3.1710913469723003,0.6003447517857975,1,3
