split,task,component,N seeds,N cells,N points,MAE macro [std] mean,MAE macro [std] std,MAE pooled [std] mean,MAE pooled [std] std,RMSE pooled [std] mean,RMSE pooled [std] std,R2 pooled [std] mean,R2 pooled [std] std,MAE macro [physical] mean,MAE macro [physical] std,MAE pooled [physical] mean,MAE pooled [physical] std,RMSE pooled [physical] mean,RMSE pooled [physical] std,R2 pooled [physical] mean,R2 pooled [physical] std,MAPE macro [%] mean,MAPE macro [%] std
val,R0,SOC10_R0,5,45,659,0.20419491609831084,0.008268159081494635,0.2044184929646385,0.010144660394665505,0.3429978967358135,0.008445661291765976,0.8276564736948944,0.008481189093622167,1.372235179795937,0.0576470874017068,1.3899383586254328,0.07240599524072684,2.351261086207235,0.0682281305800254,0.8314532954368454,0.009831671948860426,4.585345370350417,0.17893506203666082
val,R0,SOC50_R0,5,45,658,0.1907998979326089,0.01751777799194365,0.19487980635961275,0.02062342209108287,0.3312450353543063,0.02327011836617151,0.8482765946214428,0.02210295342346068,1.3452542897970292,0.12714134325753612,1.3985680226561323,0.14946478709088015,2.567299272840057,0.17269536574879363,0.8230561958247348,0.02465430594464781,4.490936978644537,0.3972351191274125
val,R0,SOC90_R0,5,45,590,0.4874491549986243,0.011759267862647391,0.481504594641126,0.007216856182251245,0.8874991902086773,0.011113159452421676,0.7424990837705234,0.00645668740815161,3.302637265820587,0.08475195218435247,3.2622142133365557,0.05613879302190606,4.623501466129838,0.1106029566168927,0.7347570571580062,0.012863134435655782,17.308949160822106,0.20365018040856706
test,R0,SOC10_R0,5,45,614,0.17963719064870348,0.0027541686687748024,0.1738670293699769,0.00169364248987274,0.25900065112493553,0.004115764550201445,0.9039532920710803,0.0030596111178927917,1.2276601755949534,0.016269580063961776,1.220431644729929,0.01018429667643697,1.8728464540230951,0.028980680852826277,0.8974045653888638,0.0031796952052653748,4.034844405639882,0.06239460746526089
test,R0,SOC50_R0,5,45,616,0.16318133064914023,0.007845633944300505,0.16670746958632005,0.008258664781239234,0.24892047850325344,0.014770054214504006,0.9096546315866132,0.01066306784018342,1.1423531403942673,0.050585236033704135,1.191291266298501,0.05176778541110586,1.838695073492024,0.10372291142269816,0.902274516747384,0.01101592418846315,3.930681536972054,0.18439295156676366
test,R0,SOC90_R0,5,45,558,0.3815886420801503,0.013652015713820801,0.3604365545738589,0.013331422937437833,0.6098466844188585,0.018671878060444572,0.4484538574641615,0.033990519294012984,3.072373262021213,0.08957200782982032,3.0051630721636764,0.08897667842811263,4.406315978546346,0.08599538175413161,0.5179780933819487,0.01903910535765807,11.118289558634427,0.26704900096195794
