seed,best_val_SOH_MSE_std,best_epoch,epochs_trained
42,0.03436647225002508,73,200
43,0.03440550951078939,113,200
44,0.025842021239128,178,200
45,0.024412062953245963,91,200
46,0.03361562515673681,79,200
