split,MAE macro [std] mean,MAE macro [std] std,MAE pooled [std] mean,MAE pooled [std] std,RMSE pooled [std] mean,RMSE pooled [std] std,R2 pooled [std] mean,R2 pooled [std] std,MAE macro [%SOH] mean,MAE macro [%SOH] std,MAE pooled [%SOH] mean,MAE pooled [%SOH] std,RMSE pooled [%SOH] mean,RMSE pooled [%SOH] std,R2 pooled [physical] mean,R2 pooled [physical] std,MAPE macro [%] mean,MAPE macro [%] std,N seeds,N cells,N points
val,0.0982070526494377,0.009573476653253327,0.098880614093125,0.01128679581381128,0.17424259725087846,0.014485203157878669,0.9490786241693506,0.008284181605047264,1.0309650620212079,0.10050113189743924,1.038036023798719,0.11848733703213607,1.829176471905012,0.1520638077324245,0.9490786241693506,0.008284181605047255,1.4741544946691547,0.1488217744487261,5,45,662
test,0.09664284618605538,0.00711663489880351,0.0975956248062576,0.007277764688003382,0.16725657992581494,0.01806035590930719,0.9492659366005963,0.01118290633183527,1.0145442228856372,0.07470952178982074,1.0245463708248042,0.07640104168207225,1.7558381566770318,0.18959530347203207,0.9492659366005963,0.01118290633183527,1.4140128515741273,0.10873961567519365,5,45,622
