seed,epoch,train_SOH_MSE_std,val_SOH_MSE_std,is_best_so_far
42,1,0.13025588927141288,0.17520118552032193,True
42,2,0.1221672271057117,0.16195337577888974,True
42,3,0.13766995775026336,0.11988768332674424,True
42,4,0.09639905361975692,0.10779918428634229,True
42,5,0.09662592645877167,0.09125935995326662,True
42,6,0.11422755040983856,0.07783795267433559,True
42,7,0.07700138341519881,0.09847367854276813,False
42,8,0.08095528090763317,0.08226355469118793,False
42,9,0.06489506779578907,0.05693109518091484,True
42,10,0.06237528575167415,0.05584484572857168,True
42,11,0.06159564370541352,0.045494710570735876,True
42,12,0.07470217508818948,0.061007589011754154,False
42,13,0.1041890896515107,0.07727240363636766,False
42,14,0.05505946478435796,0.05281794107212401,False
42,15,0.05541966631951848,0.050813023777526674,False
42,16,0.07238478184497475,0.09866857384626959,False
42,17,0.06040656433904881,0.07669441361441713,False
42,18,0.050637964362661304,0.05201141495719057,False
42,19,0.06223697514151592,0.048274751876416166,False
42,20,0.09068728766843667,0.08917560174025797,False
42,21,0.07300920043701167,0.0861519297804357,False
42,22,0.06053381105104728,0.048594431574611144,False
42,23,0.06005232923104575,0.061292942196941085,False
42,24,0.04776744383069574,0.04949255076059762,False
42,25,0.06455673117576784,0.058091783091380876,False
42,26,0.05018411227632563,0.043241512379257344,True
42,27,0.044976322968961216,0.040869969255614494,True
42,28,0.04550467801918196,0.0432076987182986,False
42,29,0.04145066442189,0.04719467105462112,False
42,30,0.07493701383125195,0.10270324430436886,False
42,31,0.05110697807971392,0.0463223529366208,False
42,32,0.03738764782779337,0.037425487783380146,True
42,33,0.04301231626801859,0.046351582622239956,False
42,34,0.05241705597846934,0.07039431430782075,False
42,35,0.039318186432604776,0.03606365814669975,True
42,36,0.04262041366615769,0.04382338624706441,False
42,37,0.05016868805137976,0.06744791589834899,False
42,38,0.05392291142068316,0.03685946334884966,False
42,39,0.04435232528389174,0.04135644111748549,False
42,40,0.03777307915382464,0.04186054298884919,False
42,41,0.03604296803755048,0.04432133677502773,False
42,42,0.03976609700591052,0.04128816840871943,False
42,43,0.03415084325325578,0.05377694559241349,False
42,44,0.046841579959777356,0.03821364342265979,False
42,45,0.05225107124158603,0.0490644518342263,False
42,46,0.04086422664080787,0.04942873237356318,False
42,47,0.04204761356789993,0.053049162435387556,False
42,48,0.04601562504861293,0.047543845508033776,False
42,49,0.03840064730681614,0.04535820260869052,False
42,50,0.03796398556336472,0.04046761953578615,False
42,51,0.040478132710389074,0.04806674715255323,False
42,52,0.04004169720274471,0.0408536329010102,False
42,53,0.02879513174890955,0.03631804140672943,False
42,54,0.04550399865346068,0.03455220248403866,True
42,55,0.03990908340364708,0.03838312373780772,False
42,56,0.035671416193040595,0.03575007504927068,False
42,57,0.035554167405637244,0.04764556308527367,False
42,58,0.04635936585685279,0.05560210536253776,False
42,59,0.03859761672795656,0.049650140399299,False
42,60,0.03257871224826668,0.04065697142724904,False
42,61,0.03186582242470488,0.0489303554292892,False
42,62,0.03151446280537412,0.04795626499141451,False
42,63,0.0369312129937838,0.05013725764801855,False
42,64,0.032914332181859345,0.05210454658439152,False
42,65,0.0320888798743949,0.05893748188306918,False
42,66,0.03613010018535938,0.04802531850301967,False
42,67,0.04100412841298862,0.06424145540081842,False
42,68,0.033619696200321215,0.061190054856038165,False
42,69,0.03750780790526773,0.03907344564570401,False
42,70,0.030975721821717202,0.054502925123693,False
42,71,0.04700366945046784,0.07643375223857038,False
42,72,0.027181750341956325,0.03966087156912351,False
42,73,0.028432683722399262,0.03436647225002508,True
42,74,0.03444273112847718,0.036105178994354524,False
42,75,0.03324062231483771,0.044694652730244526,False
42,76,0.03579750969826908,0.05679715436030731,False
42,77,0.03395898948232862,0.05673149777323098,False
42,78,0.023965761217134764,0.037803361783214924,False
42,79,0.03779255801798924,0.04853680198646384,False
42,80,0.030881028995781625,0.05368957058540644,False
42,81,0.026094725892451757,0.0460645208906191,False
42,82,0.03281512790706196,0.04486683560282082,False
42,83,0.02678626766774348,0.04497127014344553,False
42,84,0.03185266970651323,0.0703410814175793,False
42,85,0.033387050980768274,0.050738516170812875,False
42,86,0.04317045410126002,0.04827988327810051,False
42,87,0.027823025366802503,0.050769027986555304,False
42,88,0.02963845599307223,0.05106274815124327,False
42,89,0.024587566070753793,0.039867401123046875,False
42,90,0.025247732621023818,0.05235768805097597,False
42,91,0.03702097852773718,0.05069221542681092,False
42,92,0.03607106489422794,0.050772272207945855,False
42,93,0.02812463950810385,0.050242605526281625,False
42,94,0.023605967389180364,0.04687718970537906,False
42,95,0.02260720866340758,0.050411961950204164,False
42,96,0.03171036881863239,0.0666420870317073,False
42,97,0.022985095093635506,0.05036026761611063,False
