horizon,MAE_std_mean,MAE_std_std,RMSE_std_mean,RMSE_std_std,MAE_phys_mean,MAE_phys_std,RMSE_phys_mean,RMSE_phys_std,N
1,0.05822348576866918,0.01166552702261292,0.08480227406871815,0.0073590911898737035,0.6112226973235673,0.12246320876066982,0.8902434131373557,0.07725479688378833,45
2,0.06884401065970046,0.009636778048002302,0.10869760055410219,0.007023109552386248,0.7227156075330321,0.10116566183294597,1.141093490473041,0.07372770468027144,45
3,0.07537545604424344,0.008646774966223167,0.12362437692000686,0.00894477396770616,0.7912818847432869,0.09077273626322156,1.297792877194119,0.09390109161813541,45
4,0.07026375046088582,0.007079237262170813,0.11695810362775823,0.020011182571118488,0.7376198541496959,0.07431692618970494,1.227811193875239,0.210074831938956,42
5,0.07352563427550542,0.007520403651783777,0.1161948775603504,0.015355191859563461,0.7718626927088528,0.07894823445075802,1.2197989443606336,0.1611968377093231,42
6,0.08580129638846432,0.006945365213097725,0.13231587196623756,0.007669479447109607,0.900731021512228,0.07291155456259635,1.3890350791302701,0.08051321305899165,42
7,0.10021914368761438,0.010639653512920984,0.1678208506400863,0.014126596213035001,1.052087736065514,0.1116937200323925,1.7617617983732354,0.14829919794974758,42
8,0.1049535456867445,0.011904554461488682,0.17384978240678736,0.02377366303256201,1.1017888819505246,0.12497248820341021,1.8250527519768038,0.24957286998854766,42
9,0.1110808889313442,0.015371845693723353,0.18127752498460328,0.02926595037513473,1.1661129466461984,0.1613716675275936,1.903028242339504,0.3072301991519249,41
10,0.11525372826471561,0.015676592346363507,0.1902601020158285,0.031882493626053054,1.2099188795814888,0.16457085886023073,1.9973261856772868,0.33469833511761327,41
11,0.11008178602631499,0.012954162253814277,0.1701795355280316,0.03414867268802498,1.1556244922973453,0.13599113639129132,1.7865229702665553,0.35848839269644023,41
12,0.11069955468410626,0.016480849203178376,0.1778666391308747,0.039965586713881146,1.1621097485535126,0.1730138443475042,1.867221199455432,0.41955361120825096,32
13,0.1185582053149119,0.010953395706535285,0.19652924444092149,0.03334848482830173,1.2446088564731101,0.11498734540217996,2.063138840010548,0.3500881230195461,32
14,0.12670196541424456,0.01171721891938337,0.22133861248023176,0.033483757838402135,1.330101007081323,0.12300586367314502,2.323584408524419,0.35150820175610864,29
15,0.13984678956093613,0.010294121098823267,0.2463806389750613,0.035056004649099255,1.4680936876073,0.1080663649991221,2.5864723957093863,0.3680134474281202,27
16,0.15587977680067222,0.010597810441766558,0.2732715982672017,0.0361172464917581,1.6364059344171484,0.11125445682996353,2.8687702426205886,0.37915422838650675,24
17,0.12531535284859793,0.012704790834218115,0.18955342026234553,0.03764412351790296,1.3155445259409686,0.13337326716363035,1.9899075311290293,0.3951831878704799,7
18,0.04554030895233154,0.018838133085459573,0.05395366360956735,0.01744887080192547,0.47807633135169053,0.19776030866277874,0.5663986511036734,0.18317601112337314,3
