seed,split,MAE macro [std],MAE pooled [std],RMSE pooled [std],R2 pooled [std],MAE macro [%SOH],MAE pooled [%SOH],RMSE pooled [%SOH],R2 pooled [physical],MAPE macro [%],N cells,N points
42,val,0.10291356120850116,0.10498390482981997,0.1853819607489752,0.9426766070987384,1.0803733861445162,1.1021075883466467,1.9461160833674063,0.9426766070987384,1.5579492672373108,45,662
42,test,0.0929267405213957,0.09499910543972201,0.1587637133574704,0.9547098757143809,0.9755330215137858,0.9972884430330474,1.6666811310647645,0.9547098757143809,1.3525931022980922,45,622
43,val,0.10931060010162721,0.11050447842578918,0.18548722981664756,0.9426114864860073,1.1475286812203789,1.1600618629757575,1.9472211845587548,0.9426114864860073,1.6361230784164782,45,662
43,test,0.10300313068494042,0.10614233091286417,0.17827433145985921,0.9428944065502116,1.0813136750376366,1.1142685970148916,1.8715011013147989,0.9428944065502116,1.525603517170615,45,622
44,val,0.0842550164187902,0.08127667094943791,0.1607545361177013,0.956895419945568,0.8844983724118852,0.8532320830905658,1.687580533450877,0.9568954199455679,1.2596920362534865,45,662
44,test,0.10209026234198677,0.09917972490290282,0.19360618484104203,0.9326497100048365,1.0717305000779938,1.04117605077473,2.0324529346668787,0.9326497100048365,1.4704631652833746,45,622
45,val,0.09375807128566227,0.09512467095466595,0.1562436032720123,0.9592805936907449,0.9842602254143205,0.9986066137286288,1.6402253381205554,0.9592805936907449,1.3919748153199432,45,662
45,test,0.08604296555923646,0.08671570326900858,0.15272870182552126,0.9580876186671292,0.9032680335181078,0.910330347842467,1.603326352864217,0.9580876186671292,1.255341730308212,45,622
46,val,0.10079801423260767,0.102513345305912,0.1833456562990558,0.9439290136256944,1.0581646449149391,1.0761719708519957,1.9247392200274673,0.9439290136256943,1.5250332761185548,45,662
46,test,0.09915113182271754,0.10094125950679039,0.15290996814518198,0.9579880720664231,1.0408758842806616,1.0596684154588856,1.6052292634745011,0.9579880720664231,1.4660627428103428,45,622
